Time,Phi (degrees),Theta (degrees),Yaw (degrees)
2.43100,-3.36815,-3.78479,-127.21410
2.45300,-3.36591,-3.79089,-127.23131
2.46500,-3.36976,-3.79089,-127.25080
2.48700,-3.37003,-3.78779,-127.29763
2.49900,-3.37870,-3.78889,-127.30311
2.52100,-3.37916,-3.78832,-127.27784
2.53300,-3.37530,-3.78970,-127.23333
2.55500,-3.38745,-3.79421,-127.30316
2.57700,-3.38163,-3.78297,-127.31371
2.58900,-3.38189,-3.78642,-127.26703
2.61100,-3.38889,-3.79187,-127.32484
2.62300,-3.39613,-3.79365,-127.31099
2.64500,-3.40879,-3.79595,-127.36105
2.65700,-3.41348,-3.79719,-127.34652
2.68400,-3.42600,-3.79418,-127.31059
2.69600,-3.42578,-3.80111,-127.30756
2.71800,-3.41934,-3.80035,-127.28616
2.73000,-3.42360,-3.79981,-127.25336
2.75200,-3.43768,-3.79769,-127.27531
2.76400,-3.43863,-3.79566,-127.28266
2.78600,-3.44239,-3.79286,-127.26875
2.79800,-3.44530,-3.79398,-127.27273
2.82000,-3.45829,-3.79051,-127.28170
2.84200,-3.45892,-3.78675,-127.23091
2.85400,-3.46320,-3.79393,-127.22958
2.87600,-3.47434,-3.78245,-127.25612
2.88800,-3.47528,-3.78088,-127.25486
2.91000,-3.46911,-3.78327,-127.25631
2.92200,-3.47489,-3.78386,-127.23415
2.94400,-3.48522,-3.78250,-127.23225
2.96600,-3.49285,-3.78949,-127.20260
2.97800,-3.49713,-3.78880,-127.20052
3.00000,-3.50629,-3.78587,-127.18008
3.01200,-3.51450,-3.79122,-127.16830
3.03400,-3.52971,-3.79412,-127.18553
3.04600,-3.53605,-3.79597,-127.18342
3.06800,-3.54454,-3.80195,-127.16245
3.08000,-3.54905,-3.80287,-127.15308
3.10200,-3.55334,-3.80154,-127.14088
3.12400,-3.56760,-3.80231,-127.12820
3.13600,-3.57248,-3.80035,-127.12107
3.15800,-3.57857,-3.80789,-127.12738
3.17000,-3.58110,-3.80384,-127.12373
3.19200,-3.58583,-3.81333,-127.11290
3.20400,-3.59046,-3.81553,-127.10704
3.22600,-3.59922,-3.81835,-127.10387
3.24800,-3.61122,-3.82331,-127.09997
3.26000,-3.61607,-3.82182,-127.09909
3.28200,-3.62604,-3.82584,-127.10487
3.29400,-3.63384,-3.82105,-127.09615
3.31600,-3.64422,-3.81878,-127.09104
3.32800,-3.65043,-3.81649,-127.09226
3.35000,-3.66627,-3.81040,-127.08178
3.37200,-3.67770,-3.81302,-127.07172
3.38400,-3.68196,-3.81294,-127.07495
3.40600,-3.69756,-3.80948,-127.05321
3.41800,-3.70010,-3.81505,-127.04162
3.44000,-3.70825,-3.80912,-127.04314
3.45200,-3.71393,-3.81137,-127.04559
3.47400,-3.72445,-3.81871,-127.04016
3.48600,-3.73028,-3.81679,-127.03068
3.50800,-3.74046,-3.81737,-127.02437
3.53000,-3.75009,-3.82084,-127.01993
3.54200,-3.75226,-3.81864,-127.02292
3.56400,-3.75555,-3.82501,-127.00069
3.57600,-3.76275,-3.83230,-127.00156
3.59800,-3.77257,-3.82505,-126.99796
3.61000,-3.77453,-3.82598,-127.00230
3.63200,-3.77944,-3.83080,-127.01305
3.65400,-3.78817,-3.83464,-127.01859
3.66600,-3.79061,-3.83187,-127.01340
3.68800,-3.80171,-3.83444,-126.98975
3.70000,-3.80387,-3.83515,-126.97959
3.72200,-3.81414,-3.83954,-126.96206
3.73400,-3.81858,-3.83784,-126.95810
3.75600,-3.82860,-3.84259,-126.93448
3.77800,-3.83871,-3.83994,-126.93867
3.79000,-3.84707,-3.84115,-126.92284
3.81200,-3.84941,-3.83766,-126.93024
3.82400,-3.85115,-3.83334,-126.91949
3.84600,-3.85432,-3.83837,-126.91364
3.85800,-3.85919,-3.83335,-126.91212
3.88000,-3.86419,-3.83786,-126.92632
3.89200,-3.86677,-3.83999,-126.92387
3.91400,-3.87249,-3.84612,-126.92017
3.93600,-3.87827,-3.84871,-126.91061
3.94800,-3.88096,-3.85020,-126.90608
3.97000,-3.88268,-3.84677,-126.89079
3.98200,-3.88849,-3.85030,-126.89062
4.00400,-3.89305,-3.85924,-126.86820
4.01600,-3.89887,-3.85416,-126.86178
4.03800,-3.89319,-3.86634,-126.85356
4.06000,-3.89735,-3.86027,-126.84774
4.07200,-3.90013,-3.85759,-126.84705
4.09400,-3.89640,-3.86084,-126.85621
4.10600,-3.90084,-3.85778,-126.83917
4.12800,-3.90255,-3.85931,-126.83616
4.14000,-3.90398,-3.85756,-126.83207
4.16200,-3.90910,-3.85924,-126.83472
4.17400,-3.91299,-3.86157,-126.82912
4.19600,-3.92045,-3.85754,-126.78642
4.21800,-3.92428,-3.86388,-126.77487
4.23000,-3.92655,-3.86721,-126.76847
4.25200,-3.93156,-3.86841,-126.76135
4.26400,-3.93405,-3.86836,-126.75015
4.28600,-3.93540,-3.86248,-126.73615
4.29800,-3.93857,-3.86561,-126.73007
4.32000,-3.94027,-3.86885,-126.73289
4.34200,-3.94707,-3.86599,-126.70732
4.35400,-3.94912,-3.86830,-126.69861
4.37600,-3.95452,-3.87093,-126.69463
4.38800,-3.95657,-3.86759,-126.68376
4.41000,-3.96596,-3.86537,-126.68704
4.42200,-3.97219,-3.86708,-126.66547
4.44400,-3.97934,-3.85922,-126.65983
4.46600,-3.98022,-3.85804,-126.66891
4.47800,-3.98192,-3.86089,-126.66824
4.50000,-3.98526,-3.84988,-126.68594
4.51200,-3.98957,-3.85240,-126.68150
4.53400,-3.98945,-3.85958,-126.66878
4.54600,-3.98974,-3.85895,-126.66753
4.56800,-3.99950,-3.85823,-126.65533
4.58000,-4.00508,-3.85508,-126.65919
4.60200,-4.00582,-3.85863,-126.64925
4.62400,-4.00954,-3.86965,-126.64890
4.63600,-4.01479,-3.86657,-126.63306
4.65800,-4.01778,-3.87063,-126.61562
4.67000,-4.02048,-3.87347,-126.62408
4.68700,-4.02120,-3.86616,-126.62098
4.70900,-4.02810,-3.86730,-126.60818
4.72100,-4.02886,-3.87058,-126.61652
4.74300,-4.03754,-3.85825,-126.61642
4.76500,-4.04278,-3.86201,-126.62066
4.77700,-4.03978,-3.86145,-126.61205
4.79900,-4.04868,-3.86340,-126.60793
4.81100,-4.05239,-3.86744,-126.60873
4.83300,-4.05254,-3.86178,-126.59328
4.84500,-4.05415,-3.85968,-126.58811
4.86700,-4.05529,-3.86397,-126.58398
4.88900,-4.06378,-3.86527,-126.58461
4.90100,-4.06508,-3.86337,-126.57717
4.92300,-4.06961,-3.87038,-126.59140
4.93500,-4.07039,-3.86819,-126.58636
4.95700,-4.07266,-3.86538,-126.57254
4.96900,-4.07100,-3.86585,-126.56285
4.99100,-4.06991,-3.86989,-126.55877
5.01300,-4.07590,-3.87222,-126.57410
5.02500,-4.07914,-3.86968,-126.57429
5.04700,-4.07823,-3.87004,-126.57228
5.05900,-4.07882,-3.86853,-126.56975
5.08100,-4.08553,-3.86756,-126.58874
5.09300,-4.08627,-3.86474,-126.58625
5.11500,-4.08605,-3.87136,-126.58364
5.12700,-4.08859,-3.86972,-126.57527
5.14900,-4.09582,-3.87121,-126.57442
5.17100,-4.10631,-3.87683,-126.56572
5.18300,-4.10789,-3.87834,-126.56349
5.20500,-4.11141,-3.87785,-126.57564
5.21700,-4.11594,-3.87743,-126.56271
5.23900,-4.11214,-3.87653,-126.55945
5.25100,-4.11389,-3.87807,-126.55285
5.27300,-4.11623,-3.88177,-126.53757
5.29500,-4.11514,-3.88122,-126.53090
5.30700,-4.11517,-3.88155,-126.54243
5.32900,-4.11628,-3.87974,-126.54170
5.34100,-4.11941,-3.88523,-126.53664
5.36300,-4.12055,-3.88711,-126.53646
5.37500,-4.12167,-3.88670,-126.53406
5.39700,-4.12353,-3.88963,-126.53698
5.41900,-4.12356,-3.88374,-126.51289
5.43100,-4.12133,-3.88785,-126.51112
5.45300,-4.13328,-3.88387,-126.52676
5.46500,-4.13492,-3.87925,-126.52589
5.48700,-4.14127,-3.88586,-126.52449
5.49900,-4.14278,-3.88631,-126.51403
5.52100,-4.15068,-3.88641,-126.50485
5.53300,-4.15326,-3.88750,-126.49548
5.55500,-4.15862,-3.88481,-126.49100
5.57700,-4.16162,-3.88293,-126.48419
5.58900,-4.16323,-3.88177,-126.46939
5.61100,-4.16368,-3.87894,-126.48042
5.62300,-4.16491,-3.87692,-126.47201
5.64500,-4.17089,-3.87817,-126.47115
