Time,Phi (degrees),Theta (degrees)
3.29400,-3.63508,-3.82270
3.31600,-3.64546,-3.82043
3.32800,-3.65166,-3.81813
3.35000,-3.66751,-3.81205
3.37200,-3.67893,-3.81467
3.38400,-3.68320,-3.81459
3.40600,-3.69880,-3.81113
3.41800,-3.70134,-3.81670
3.44000,-3.70949,-3.81077
3.45200,-3.71516,-3.81302
3.47400,-3.72568,-3.82036
3.48600,-3.73152,-3.81845
3.50800,-3.74170,-3.81903
3.53000,-3.75133,-3.82249
3.54200,-3.75350,-3.82030
3.56400,-3.75680,-3.82667
3.57600,-3.76399,-3.83396
3.59800,-3.77381,-3.82671
3.61000,-3.77577,-3.82764
3.63200,-3.78068,-3.83247
3.65400,-3.78941,-3.83630
3.66600,-3.79185,-3.83353
3.68800,-3.80296,-3.83610
3.70000,-3.80512,-3.83682
3.72200,-3.81539,-3.84121
3.73400,-3.81983,-3.83951
3.75600,-3.82985,-3.84425
3.77800,-3.83996,-3.84161
3.79000,-3.84832,-3.84282
3.81200,-3.85066,-3.83933
3.82400,-3.85240,-3.83502
3.84600,-3.85557,-3.84005
3.85800,-3.86044,-3.83502
3.88000,-3.86545,-3.83954
3.89200,-3.86803,-3.84167
3.91400,-3.87374,-3.84780
3.93600,-3.87952,-3.85040
3.94800,-3.88222,-3.85189
3.97000,-3.88394,-3.84845
3.98200,-3.88974,-3.85198
4.00400,-3.89431,-3.86093
4.01600,-3.90013,-3.85585
4.03800,-3.89444,-3.86803
4.06000,-3.89860,-3.86196
4.07200,-3.90139,-3.85928
4.09400,-3.89766,-3.86253
4.10600,-3.90210,-3.85947
4.12800,-3.90381,-3.86101
4.14000,-3.90524,-3.85925
4.16200,-3.91037,-3.86094
4.17400,-3.91425,-3.86326
4.19600,-3.92171,-3.85923
4.21800,-3.92554,-3.86558
4.23000,-3.92781,-3.86891
4.25200,-3.93283,-3.87011
4.26400,-3.93531,-3.87006
4.28600,-3.93667,-3.86418
4.29800,-3.93984,-3.86731
4.32000,-3.94154,-3.87056
4.34200,-3.94833,-3.86770
4.35400,-3.95039,-3.87001
4.37600,-3.95579,-3.87263
4.38800,-3.95784,-3.86930
4.41000,-3.96723,-3.86708
4.42200,-3.97345,-3.86879
4.44400,-3.98060,-3.86094
4.46600,-3.98149,-3.85976
4.47800,-3.98319,-3.86261
4.50000,-3.98654,-3.85160
4.51200,-3.99084,-3.85412
4.53400,-3.99072,-3.86130
4.54600,-3.99101,-3.86067
4.56800,-4.00077,-3.85995
4.58000,-4.00636,-3.85681
4.60200,-4.00710,-3.86036
4.62400,-4.01081,-3.87138
4.63600,-4.01606,-3.86830
4.65800,-4.01905,-3.87236
4.67000,-4.02176,-3.87520
4.68700,-4.02248,-3.86789
4.70900,-4.02938,-3.86903
4.72100,-4.03015,-3.87231
4.74300,-4.03882,-3.85998
4.76500,-4.04406,-3.86375
4.77700,-4.04107,-3.86319
4.79900,-4.04996,-3.86514
4.81100,-4.05368,-3.86918
