Time,Phi (degrees),Theta (degrees),Yaw (degrees)
2.43100,-1.87579,-3.36459,-146.65533
2.45300,-1.86916,-3.37073,-146.67152
2.46500,-1.87108,-3.37063,-146.70082
2.48700,-1.86741,-3.36780,-146.78494
2.49900,-1.87441,-3.36857,-146.77835
2.52100,-1.87017,-3.36748,-146.73688
2.53300,-1.86349,-3.36867,-146.69267
2.55500,-1.87123,-3.37238,-146.77206
2.57700,-1.85954,-3.36000,-146.78343
2.58900,-1.85740,-3.36364,-146.74097
2.61100,-1.85980,-3.36875,-146.80565
2.62300,-1.86440,-3.37028,-146.78513
2.64500,-1.87233,-3.37211,-146.85910
2.65700,-1.87427,-3.37303,-146.85678
2.68400,-1.88070,-3.36918,-146.81087
2.69600,-1.87703,-3.37618,-146.82608
2.71800,-1.86363,-3.37405,-146.79303
2.73000,-1.86462,-3.37323,-146.76659
2.75200,-1.87320,-3.37036,-146.79747
2.76400,-1.87046,-3.36800,-146.80299
2.78600,-1.86725,-3.36393,-146.79311
2.79800,-1.86639,-3.36457,-146.79211
2.82000,-1.87227,-3.36008,-146.80232
2.84200,-1.86508,-3.35485,-146.74988
2.85400,-1.86528,-3.36197,-146.75014
2.87600,-1.86824,-3.34894,-146.79570
2.88800,-1.86469,-3.34665,-146.79622
2.91000,-1.84977,-3.34845,-146.79539
2.92200,-1.85080,-3.34859,-146.77345
2.94400,-1.85195,-3.34626,-146.78195
2.96600,-1.84997,-3.35229,-146.75546
2.97800,-1.84885,-3.35079,-146.76486
3.00000,-1.84770,-3.34669,-146.74956
3.01200,-1.85060,-3.35167,-146.74229
3.03400,-1.85580,-3.35359,-146.77628
3.04600,-1.85677,-3.35464,-146.77747
3.06800,-1.85543,-3.35968,-146.76117
3.08000,-1.85457,-3.35995,-146.75417
3.10200,-1.84938,-3.35705,-146.74873
3.12400,-1.85431,-3.35699,-146.74158
3.13600,-1.85412,-3.35419,-146.74077
3.15800,-1.85051,-3.36092,-146.75830
3.17000,-1.84795,-3.35610,-146.75803
3.19200,-1.84337,-3.36497,-146.74471
3.20400,-1.84306,-3.36660,-146.74174
3.22600,-1.84276,-3.36820,-146.74950
3.24800,-1.84589,-3.37235,-146.75243
3.26000,-1.84586,-3.37027,-146.75331
3.28200,-1.84724,-3.37347,-146.77461
3.29400,-1.85026,-3.36802,-146.77214
3.31600,-1.85219,-3.36470,-146.78014
3.32800,-1.85378,-3.36190,-146.78360
3.35000,-1.86152,-3.35516,-146.78568
3.37200,-1.86471,-3.35681,-146.78127
3.38400,-1.86445,-3.35629,-146.79083
3.40600,-1.87183,-3.35189,-146.77423
3.41800,-1.86982,-3.35687,-146.76425
3.44000,-1.86977,-3.35015,-146.78172
3.45200,-1.87102,-3.35191,-146.79051
3.47400,-1.87359,-3.35869,-146.80142
3.48600,-1.87509,-3.35624,-146.79608
3.50800,-1.87730,-3.35587,-146.79056
3.53000,-1.87932,-3.35860,-146.79147
3.54200,-1.87722,-3.35617,-146.79752
