-8536,-6312,3898
-7622,-4696,-3336
-7408,-4574,-3140
-7718,-3140,-6930
2250,-3272,3538
10488,3868,-1608
9502,-2482,6244
10330,4230,-1600
-7796,-3056,-6728
9424,-2330,6074
-4396,-8366,150
-2576,-3612,11176
10118,4274,-1440
-2692,-5476,-7118
-2530,-5128,9992
-5188,-4270,-6138
-5206,3122,-9256
3424,1844,-2748
-5274,-4036,3398
-7116,-4536,-926
-7430,-4510,-814
-6982,-4378,-1006
-5622,2894,-9128
254,-3056,11302
-7518,-4226,-946
-6712,2978,-7602
7848,-4988,-4316
-3600,-4964,8308
-4796,-3372,-7002
-5008,1252,-9454
-3624,-4976,8120
-1822,-2728,-6302
-3686,-4858,7954
-1998,3628,1030
-8006,-3496,5916
-2430,854,2532
-1566,2962,10686
-834,-4976,-8570
-4758,1056,-9486
-2374,972,2354
-8080,-3496,5592
-1780,-2662,-6408
5682,-7448,-4522
-730,-5096,-8512
-1708,-4828,4152
6378,70,8994
3572,2264,-2772
10308,-318,-3764
7746,-4696,-4412
-4776,-5496,-6066
-1312,-5622,10138
2096,2276,2596
8392,-6524,864
-6536,3048,-7418
7918,-4562,-4398
-2028,1186,2262
-3504,-6176,-2108
1708,3698,-2072
-5048,2666,-8862
-5258,-780,3352
-228,-6182,9654
5650,4186,-6266
3972,1540,834
4424,442,3100
-826,1802,2038
-1738,-4876,4290
-4966,2576,-8796
-1190,-5552,10082
-3290,-6112,-1514
-8216,-3230,5712
5586,-7270,-4604
-5788,1798,-8200
-3020,-8706,-2442
1572,-6580,9734
-5224,-3252,-6652
2020,-6434,10014
-5536,-4970,3436
-4332,-6132,8292
3488,-1086,-10404
8550,2008,6020
-3418,-5868,-4786
-1690,-9044,-3272
-6232,3278,-7698
1954,-6420,9996
-2368,-6882,-2444
-4380,-5702,-5712
7874,-7274,3252
-7454,-2068,6724
8346,-6846,2876
7864,-3086,7264
9218,-3542,2982
-8598,-3368,2874
-1860,4086,-2652
2364,4844,-8202
10608,-660,-3920
-4482,-5644,-5908
