Time,Phi (degrees),Theta (degrees)
3.31600,3.43434,-11.24175
3.33800,3.31519,-11.78738
3.35000,3.35423,-11.59319
3.37200,3.43730,-11.15965
3.38400,3.51205,-10.90377
3.40600,3.73454,-9.83165
3.42800,3.91412,-9.35554
3.44000,3.88761,-9.51104
3.46200,3.51427,-10.42465
3.47400,3.45310,-10.64493
3.49600,3.32009,-11.10590
3.50800,3.44269,-10.95558
3.53000,3.77883,-10.01148
3.54200,3.89592,-9.66755
3.56400,4.09240,-9.61733
3.58600,4.01622,-10.83323
3.59800,3.78949,-12.31377
3.62000,3.67570,-13.37491
3.63200,3.76629,-13.47124
3.65400,4.12314,-12.26781
3.66600,4.29717,-11.61753
3.68800,4.34591,-11.27206
3.71000,4.31849,-10.87883
3.72200,4.19040,-11.10272
3.74400,4.00571,-11.91056
3.75600,4.28986,-11.35501
3.77800,5.02860,-7.64879
3.79000,5.31672,-6.13834
3.81200,5.42335,-5.11229
3.83400,5.15228,-6.45436
3.84600,4.85297,-8.68797
3.86800,4.41901,-11.71928
3.88000,4.54434,-11.82063
3.90200,5.00881,-10.69518
3.91400,5.20141,-10.15944
3.93600,5.49741,-9.17518
3.94800,5.61051,-8.75983
3.97000,5.74609,-8.59639
3.99200,5.80642,-9.01559
4.00400,5.89278,-8.66150
4.02600,5.97909,-8.39480
4.03800,5.95932,-8.47027
4.06000,5.74903,-8.82047
4.07200,5.71113,-8.81536
4.09400,5.72436,-9.59926
4.11600,5.48642,-10.19581
4.12800,5.35317,-10.30959
4.15000,5.39892,-9.88331
4.16200,5.34455,-9.74935
4.18400,5.06687,-9.71637
4.19600,4.97010,-9.49813
4.21800,4.87787,-9.37010
4.24000,4.81271,-10.11660
4.25200,4.75826,-10.71776
4.27400,4.67715,-11.74344
4.28600,4.68891,-11.73084
4.30800,4.60093,-11.53513
4.32000,4.48315,-11.51277
4.34200,4.30884,-10.74765
4.35400,4.28136,-10.59547
4.37600,4.29225,-10.90316
4.39800,4.31572,-11.21500
4.41500,4.32711,-11.43016
4.42700,4.30533,-11.87809
4.44900,4.27426,-12.31573
4.46100,4.22577,-12.54272
4.48300,3.92002,-13.21621
4.49500,3.68148,-13.63622
4.51700,3.69563,-13.48115
4.53900,4.03894,-12.95314
4.55100,4.21307,-12.94112
4.57300,4.46756,-12.86117
4.58500,4.51944,-13.14143
4.60700,4.56956,-13.64568
4.61900,4.62298,-14.06803
4.64100,4.89205,-14.21636
4.66300,5.30057,-13.78641
4.67500,5.43046,-13.54141
4.69700,5.54516,-13.27219
4.70900,5.58935,-13.07442
4.73100,5.72486,-12.72864
4.74300,5.77962,-12.37393
4.76500,6.03902,-11.26049
4.78700,6.35956,-9.29257
4.79900,6.52526,-8.07388
4.82100,6.63232,-6.27125
4.83300,6.68366,-6.28264
4.85500,6.53380,-7.87290
4.86700,6.49641,-8.35194
4.88900,6.56195,-8.40831
4.90100,6.63695,-8.19573
4.92300,7.05208,-7.30339
4.94500,7.47961,-6.32426
4.95700,7.60909,-6.12902
4.97900,7.62632,-6.25855
4.99100,7.63417,-6.63754
5.01300,7.59772,-7.66743
5.02500,7.75148,-7.70567
5.04700,8.33692,-7.25305
5.06900,8.82694,-6.75086
5.08100,8.99334,-6.60723
5.10300,9.20545,-6.28124
5.11500,9.29610,-6.28723
5.13700,9.47461,-6.19455
5.14900,9.65665,-6.02202
5.17100,9.94265,-5.85249
5.19300,10.14681,-6.06748
5.20500,10.23474,-6.01988
5.22700,10.33590,-5.94227
5.23900,10.40050,-5.84368
5.26100,10.60262,-4.73563
5.27300,10.64566,-3.69070
5.29500,10.70091,-2.16972
5.30700,10.74830,-1.64513
5.32900,10.70836,-1.90214
5.35100,10.76717,-2.80128
5.36300,10.90714,-2.94693
5.38500,11.44436,-2.08481
5.39700,11.73340,-1.65903
5.41900,12.14230,-0.90717
5.43100,12.34762,-0.82429
5.45300,12.73471,-1.18412
5.47500,13.23487,-1.18876
5.48700,13.51029,-1.19867
5.50900,13.95338,-1.36682
5.52100,14.19789,-1.37477
5.54300,14.45510,-1.85953
5.55500,14.61427,-2.06080
5.57700,14.96372,-2.93165
5.58900,15.13628,-3.27502
5.61100,15.34733,-3.46376
5.63300,15.50535,-2.94485
5.64500,15.63902,-2.60986
5.66700,15.72071,-2.41266
5.67900,15.74490,-2.46604
5.70100,15.84785,-2.64966
5.71300,15.93208,-2.63475
5.73500,16.40721,-1.79360
5.75700,16.90207,-0.92051
5.76900,17.07835,-0.78739
5.79100,17.31058,-0.69687
5.80300,17.42949,-0.95161
5.82500,17.62781,-1.49558
5.83700,17.75623,-1.38587
5.85900,18.06473,-0.82608
5.88100,18.30891,-0.11155
5.89300,18.35243,0.11548
5.91500,18.31964,0.92856
5.92700,18.24119,1.21299
5.94900,18.09888,1.27802
5.96100,18.00027,1.16544
5.98300,17.93681,1.10987
5.99500,17.86184,0.91628
6.01700,17.83978,0.24048
6.03900,17.89007,-0.75924
6.05100,18.03538,-0.81664
6.07300,18.29792,-0.38903
6.08500,18.53850,0.06265
6.10700,18.84507,1.08818
6.11900,18.89519,1.35231
6.14100,19.15015,1.73196
6.16300,19.37914,2.14734
6.17500,19.51379,2.58006
6.19700,19.72454,3.22395
6.20900,19.90424,3.34279
6.23100,19.84616,4.12238
6.24300,19.88637,4.37646
6.26500,19.89772,4.89044
6.28700,20.05178,5.44539
6.29900,19.46997,5.77169
6.32100,19.07372,5.87865
6.33300,18.95596,5.86477
6.35500,18.42179,6.23537
6.36700,18.17107,6.40193
6.38900,17.82880,6.95793
6.40100,17.51885,6.91940
6.42800,16.81609,6.57538
6.44000,16.40968,6.11064
6.46200,15.65949,5.20194
6.47400,15.31407,5.31273
6.49600,14.96402,6.09580
6.50800,14.73446,6.14004
6.53000,14.23397,5.27994
6.54200,14.06926,5.02850
6.56400,13.89701,4.50143
6.58600,13.52937,2.87609
6.59800,13.30003,2.43223
6.62000,13.05059,2.27587
6.63200,12.87878,2.46837
6.65400,12.34751,2.75036
6.66600,12.12830,3.08680
6.68800,11.61581,3.84304
6.71000,10.91602,3.45068
6.72200,10.58223,3.52979
6.74400,9.99009,3.90815
6.75600,9.61451,4.12392
6.77800,8.61203,2.96661
6.79000,7.91098,1.69160
6.81200,6.81327,0.98307
6.83400,6.05881,0.12189
6.84600,5.86450,0.07876
6.86800,6.29680,2.30621
6.88000,6.49215,2.97186
6.90200,6.37569,3.58395
6.91400,6.07318,3.38425
6.93600,5.38008,2.96884
6.94800,5.08120,2.75126
6.97000,4.77946,2.38194
6.99200,4.78789,3.30793
7.00400,4.74330,4.13906
7.02600,4.39857,4.55753
7.03800,4.11935,4.84543
7.06000,3.33473,4.98473
7.07200,3.11183,5.06939
7.09400,3.11463,4.38928
7.11600,3.23152,3.58987
7.12800,3.23282,3.25304
7.15000,2.82888,2.27179
7.16200,2.60170,1.82349
7.18400,2.36230,0.98050
7.19600,2.29260,0.63031
7.21800,2.34360,0.09616
7.23029,2.19211,-0.60907
7.25200,1.83703,-1.79343
7.27400,1.60614,-2.85536
7.28600,1.48888,-3.42714
7.30800,1.07770,-5.94404
7.32000,0.84462,-5.94427
7.34200,0.48350,-5.87296
7.35400,0.25424,-5.98539
7.37600,-0.22485,-5.92967
7.39800,-0.45702,-5.73044
7.41000,-0.56238,-5.56328
7.43200,-0.83154,-5.31608
7.44400,-1.09377,-5.13849
7.46600,-1.72350,-4.59530
7.47800,-2.30827,-4.39899
7.50000,-4.55067,-4.28570
7.52200,-4.96820,-2.84740
7.53400,-5.04040,-2.37283
7.55600,-5.03877,-1.91567
7.56800,-4.92806,-1.91577
7.59000,-3.80062,-0.08643
7.60200,-3.70507,-0.28207
7.62400,-3.92594,0.29756
7.63600,-3.91193,0.20247
7.65800,-3.94746,0.27661
7.68000,-3.97511,0.25782
7.69200,-3.99423,0.23611
7.71400,-3.97869,0.18803
7.72600,-3.95587,0.14269
7.74800,-3.98438,0.16209
7.76000,-3.97882,0.17847
7.78200,-3.95156,0.11412
7.80400,-3.96170,0.03569
7.81600,-3.95314,-0.03977
7.83800,-3.95325,-0.10761
7.85000,-3.92200,-0.14519
7.87200,-3.84520,-0.36612
7.88400,-3.86634,-0.38644
7.90600,-3.81314,-0.49588
7.92800,-3.77134,-0.60637
7.94000,-3.76713,-0.63574
7.96200,-3.78533,-0.65460
7.97400,-3.79023,-0.68252
7.99600,-3.78574,-0.70002
8.00800,-3.79019,-0.71705
8.03000,-3.78205,-0.76184
8.04200,-3.77242,-0.76296
8.06400,-3.72859,-0.90380
8.08600,-3.75416,-0.83980
8.09800,-3.75762,-0.85949
8.12000,-3.76097,-0.88174
8.13200,-3.76525,-0.89599
8.15400,-3.75250,-0.93385
8.16600,-3.75705,-0.95115
8.18800,-3.73770,-0.99303
8.21000,-3.73485,-1.01213
8.22200,-3.73780,-1.02959
8.24400,-3.67005,-1.13967
8.25600,-3.64753,-1.21316
8.27800,-3.70565,-1.03831
8.29000,-3.71281,-1.04677
8.31200,-3.68117,-1.18102
8.33400,-3.66351,-1.25780
8.34600,-3.66234,-1.26781
8.36800,-3.66355,-1.28707
8.38000,-3.67790,-1.28154
8.40200,-3.65320,-1.35573
8.41900,-3.64601,-1.38662
8.43100,-3.65947,-1.34989
8.45300,-3.70073,-1.26071
8.47500,-3.68709,-1.30156
8.48700,-3.68644,-1.31227
8.50900,-3.67883,-1.33460
8.52100,-3.66883,-1.37404
8.54300,-3.63506,-1.49314
8.55500,-3.64287,-1.48389
8.57700,-3.63108,-1.52847
8.58900,-3.63828,-1.52929
8.61100,-3.63455,-1.57622
