Time,Phi (degrees),Theta (degrees),Yaw (degrees)
2.43600,-0.92195,-3.23541,-145.14464
2.44800,-0.88777,-3.38765,-144.92018
2.47000,-0.62262,-4.28751,-145.48698
2.49200,-0.27531,-5.70382,-145.29041
2.50400,0.06868,-6.34607,-144.38629
2.52600,-0.13310,-5.85165,-142.58224
2.53800,-0.14103,-6.15519,-142.25925
2.56000,0.24803,-7.41247,-141.29024
2.57200,0.28593,-7.61489,-141.00502
2.59400,0.33610,-7.78382,-140.44429
2.61600,-0.08899,-6.74536,-139.75543
2.62800,-0.53271,-6.75800,-138.74582
2.65000,-0.60908,-7.08313,-137.17491
2.66200,-0.70928,-6.89534,-136.73735
2.68400,-0.72688,-7.56745,-137.01326
2.69600,-0.60703,-6.78822,-137.08621
2.71800,-0.41800,-5.43538,-136.91585
2.74000,0.11501,-3.14833,-135.98032
2.75200,0.57052,-1.92498,-135.27113
2.77400,1.05871,0.20835,-134.77446
2.78600,1.26380,-0.11433,-134.90944
2.80800,1.70760,-2.95077,-134.96536
2.82000,2.01551,-3.91273,-134.57570
2.84200,2.41283,-6.15123,-133.85518
2.85400,2.68332,-6.78708,-132.98154
2.87600,3.25671,-7.07508,-130.80460
2.89800,3.72935,-7.43236,-129.17099
2.91000,4.14625,-8.00562,-127.65220
2.93200,5.08386,-8.39515,-125.29286
2.94400,5.67379,-8.52460,-124.05690
2.96600,6.90172,-8.65793,-120.57603
2.97800,7.59657,-8.43309,-118.51250
3.00000,8.41249,-8.05274,-115.46921
3.02200,8.21236,-8.74129,-113.85849
3.03400,7.69413,-9.87121,-113.51934
3.05600,6.37913,-10.78096,-113.30948
3.06800,6.17924,-10.66113,-112.95560
3.09000,6.18654,-9.96551,-111.78687
3.10200,6.35894,-9.18299,-111.13493
3.12400,6.74689,-7.54850,-110.12083
3.13600,6.69483,-7.27213,-109.91677
3.15800,6.26253,-8.15435,-109.58514
3.18000,5.95521,-8.34771,-109.51605
3.19200,5.81007,-8.50871,-109.43822
3.21400,5.44727,-9.10412,-109.31738
3.22600,5.37713,-9.19044,-109.11640
3.24800,5.40590,-9.00067,-108.70605
3.26000,5.33448,-9.28931,-108.59757
3.28200,5.07976,-9.73122,-108.60922
3.30400,5.01946,-10.09793,-108.55057
3.31600,5.06840,-10.32073,-108.35288
3.33800,4.96440,-10.87515,-108.15901
3.35000,5.00799,-10.68199,-107.98803
3.37200,5.10008,-10.24906,-107.67920
3.38400,5.17981,-9.99260,-107.52422
3.40600,5.40937,-8.92491,-107.34859
3.42800,5.60080,-8.44580,-106.99408
3.44000,5.58093,-8.59713,-106.73759
