Time,Phi (degrees),Theta (degrees),Yaw (degrees)
2.48700,1.71487,-10.55713,-98.14754
2.49900,1.69691,-10.52394,-98.18063
2.52100,1.72915,-10.40532,-98.48645
2.54300,1.71265,-10.14193,-98.37603
2.55500,1.71773,-9.99744,-98.52581
2.57700,1.63849,-9.78933,-98.76444
2.58900,1.60256,-9.78055,-98.75591
2.61100,1.53603,-9.96771,-98.76614
2.62300,1.47608,-10.19147,-98.67534
2.64500,1.32447,-10.65465,-98.54199
2.65700,1.20194,-10.89366,-98.52133
2.67900,1.08743,-11.41845,-98.76778
2.70100,1.00281,-11.95653,-98.86077
2.71300,0.96272,-12.09947,-99.01137
2.73500,0.99231,-12.28161,-99.47443
2.74700,0.97713,-12.37867,-99.50745
2.76900,0.89595,-12.43490,-99.70329
2.78100,0.89266,-12.46832,-99.82238
2.80300,0.94443,-12.40869,-99.97536
2.82500,0.93698,-12.35616,-100.31568
2.83700,0.93093,-12.30602,-100.40445
2.85900,0.94454,-12.07255,-100.53658
2.87100,0.94906,-12.01112,-100.57952
2.89300,0.90955,-12.02953,-100.74789
2.90500,0.91027,-12.02875,-100.83420
2.92700,0.93001,-12.06021,-100.83765
2.93900,0.93517,-12.03011,-100.93753
2.96100,0.95459,-11.91694,-101.15578
2.98300,0.94741,-11.70054,-101.26550
2.99500,0.97315,-11.51646,-101.36696
3.01700,1.00250,-11.39960,-101.44865
3.02900,1.00628,-11.31665,-101.47020
3.05100,0.96199,-11.26094,-101.51482
3.06300,0.95434,-11.17696,-101.50175
3.08500,0.95718,-10.97582,-101.64493
3.10200,0.92661,-10.95258,-101.60829
3.12400,0.89780,-10.92610,-101.57154
3.13600,0.86001,-10.98184,-101.63616
3.15800,0.75530,-11.00261,-101.67151
3.17000,0.61577,-11.33634,-101.69212
3.19200,-0.09341,-15.58983,-101.95245
3.20400,-1.27726,-20.67965,-102.57185
3.22600,-4.14009,-39.84945,-105.42491
3.24800,-7.57519,-48.02221,-109.44156
3.26000,-10.14156,-43.17503,-111.99861
3.28200,-12.59810,-21.67496,-112.65856
3.29400,-13.63643,-9.56568,-111.78060
3.31600,-14.68161,3.34478,-110.51904
3.33800,-15.55381,9.60576,-109.40101
3.35000,-16.53360,13.36158,-107.91209
3.37200,-20.47339,24.43846,-102.02998
3.38400,-24.47596,31.87915,-96.89770
3.40600,-35.37723,42.24424,-85.20763
3.41800,-40.14767,42.86607,-80.90294
3.44000,-43.49522,35.58656,-80.22917
3.45200,-45.49464,30.01096,-80.52549
3.47400,-51.78983,20.39273,-79.85394
3.48600,-56.09795,15.22641,-80.32153
3.50800,-64.79827,5.20321,-87.40243
3.53000,-75.40076,-3.08450,-103.02534
3.54200,-82.13429,-4.76815,-114.23417
3.56400,-92.92148,-1.59759,-132.16615
3.57600,-97.11221,1.71556,-137.20534
3.59800,-103.27995,6.34796,-135.10718
3.61000,-106.94231,6.68653,-128.32175
3.63200,-113.96091,2.41149,-110.46083
3.65400,-119.51846,-5.62767,-93.76894
3.66600,-122.17772,-9.79449,-88.00608
3.68800,-128.61714,-13.52096,-85.99707
3.70000,-133.47038,-12.30027,-88.63629
3.72200,-143.15565,-3.91337,-96.40862
3.74400,-151.68233,8.27293,-102.57751
3.75600,-155.90207,14.38378,-104.05199
3.77800,-163.61050,20.68833,-103.11207
3.79000,-167.71848,20.86121,-101.40067
3.81200,-174.24529,16.96539,-98.07182
3.82400,-177.14781,14.09369,-96.65205
3.84600,178.34857,9.57790,-94.78747
3.85800,176.11722,8.02763,-94.02129
3.88000,172.23557,7.06419,-92.78136
