Time,Phi (degrees),Theta (degrees),Yaw (degrees)
2.46500,-0.03869,-10.33268,-88.68781
2.48700,-0.06638,-10.49061,-88.59436
2.49900,-0.08580,-10.45887,-88.62086
2.52100,-0.05843,-10.33501,-88.80184
2.54300,-0.07808,-10.06882,-88.71816
2.55500,-0.07598,-9.92200,-88.78947
2.57700,-0.16011,-9.72155,-88.85238
2.58900,-0.19952,-9.71464,-88.82943
2.61100,-0.27320,-9.90311,-88.79722
2.62300,-0.33635,-10.13024,-88.72526
2.64500,-0.49352,-10.59568,-88.64973
2.65700,-0.61850,-10.83488,-88.61991
2.67900,-0.73782,-11.35773,-88.80700
2.70100,-0.83102,-11.88133,-88.88297
2.71300,-0.87212,-12.02486,-88.96198
2.73500,-0.84517,-12.19743,-89.30850
2.74700,-0.86258,-12.28696,-89.32967
2.76900,-0.94358,-12.34208,-89.40674
2.78100,-0.94769,-12.37221,-89.47776
2.80300,-0.89864,-12.30597,-89.57176
2.82500,-0.90892,-12.25015,-89.75230
2.83700,-0.91640,-12.19941,-89.78452
2.85900,-0.90521,-11.96517,-89.81769
2.87100,-0.90337,-11.90380,-89.82835
2.89300,-0.94787,-11.92391,-89.92485
2.90500,-0.95048,-11.92032,-89.98116
2.92700,-0.93883,-11.95231,-89.93931
2.93900,-0.93729,-11.92280,-90.00246
2.96100,-0.92578,-11.80569,-90.16152
2.98300,-0.94052,-11.58800,-90.21906
2.99500,-0.91860,-11.40248,-90.28742
3.01700,-0.89849,-11.28234,-90.35687
3.02900,-0.89919,-11.19783,-90.37524
3.05100,-0.95267,-11.14020,-90.39786
3.06300,-0.96455,-11.05600,-90.38367
3.08500,-0.96905,-10.85225,-90.48002
3.10200,-1.00664,-10.82819,-90.43942
3.12400,-1.04418,-10.80325,-90.40953
3.13600,-1.08697,-10.85679,-90.46765
3.15800,-1.20014,-10.87387,-90.51523
3.17000,-1.34753,-11.20689,-90.53910
3.19200,-2.11390,-15.45723,-90.93281
3.20400,-3.36022,-20.52554,-91.70605
3.22600,-6.66994,-39.58614,-95.42559
3.24800,-10.44044,-47.61612,-99.93192
3.26000,-12.74656,-42.69065,-102.13117
3.28200,-14.66461,-21.17834,-101.76099
3.29400,-15.60083,-9.10737,-100.43921
3.31600,-16.64922,3.74892,-98.72731
3.33800,-17.57052,9.96402,-97.37987
3.35000,-18.59589,13.66344,-95.74818
3.37200,-22.71815,24.51954,-89.41444
3.38400,-26.88948,31.76806,-83.93842
3.40600,-38.06559,41.70194,-71.72386
3.41800,-42.80830,42.17207,-67.42107
3.44000,-45.90826,34.86880,-67.15725
3.45200,-47.77919,29.30392,-67.71657
3.47400,-53.91352,19.66079,-67.44852
3.48600,-58.17854,14.50979,-68.10964
3.50800,-66.90727,4.73738,-75.54007
3.53000,-77.56797,-2.96952,-91.45984
3.54200,-84.24906,-4.23759,-102.71980
3.56400,-94.75471,-0.46239,-120.52375
3.57600,-98.84892,3.00086,-125.45655
3.59800,-105.09014,7.55644,-123.21474
3.61000,-108.89217,7.66805,-116.40730
3.63200,-116.11707,2.74290,-98.69902
3.65400,-121.70184,-5.93426,-82.32648
3.66600,-124.34987,-10.31930,-76.68697
