-1,-10,-6
-13,-10,-9
-11,-22,-11
-9,-33,-15
-10,-34,-13
-12,-33,-18
-13,-25,-18
-7,-6,-7
-4,4,-7
-7,11,-8
-6,19,-2
-7,17,-4
-8,17,-5
-6,14,-2
-5,14,-4
-3,7,-6
-3,15,-4
-5,35,-1
-1,41,2
-9,17,0
-11,5,-5
-10,2,-4
-7,-1,-6
-9,-10,-6
-9,-20,-11
-11,-17,-11
-10,-18,-7
-13,-12,-10
-15,-22,-9
-5,-20,-8
-11,-15,-13
-9,-13,-11
-7,-8,-12
-11,-11,-8
-10,-15,-16
-8,-8,-13
-10,0,-5
-8,-4,-4
-6,-5,-9
-5,0,-6
5,2,-8
3,0,-3
5,-7,-9
5,-8,-5
2,-6,-8
0,0,-5
-3,1,-7
-4,11,-3
-3,12,-4
-5,26,-5
-5,25,-3
-7,21,-1
-12,26,2
-9,57,3
-4,62,5
-3,49,1
-2,59,6
7,72,5
16,144,24
31,260,36
43,304,37
25,278,56
18,236,51
6,177,36
-5,106,21
-7,82,13
-18,16,-4
-19,-30,-15
-27,-78,-25
-19,-79,-32
-24,-95,-27
-22,-77,-24
-23,-42,-20
-26,-50,-20
-28,-56,-19
-37,-42,-5
-38,-14,9
-39,-12,15
-55,-9,3
-82,-21,-15
-113,-35,-34
-130,-5,-50
-139,-2,-54
-134,43,-44
-134,87,-37
-136,110,-42
-141,74,-78
-177,-12,-147
-254,-64,-240
-291,63,-379
-392,31,-440
-359,35,-444
-319,72,-382
-304,76,-276
-173,66,-240
-50,109,-328
10,33,-440
-23,-95,-514
-202,-323,-609
-423,-365,-717
-372,-325,-651
309,-202,-474
690,358,-208
987,260,172
1125,145,508
1068,178,626
968,134,602
896,78,506
815,152,361
745,347,192
853,524,102
1097,464,80
1211,438,29
1163,507,-67
1049,554,-194
915,585,-289
931,610,-284
933,531,-204
780,438,-145
535,352,-125
308,296,-109
156,242,-67
89,188,-4
94,124,84
149,82,156
215,66,187
205,79,173
171,79,131
161,63,90
140,103,68
160,109,100
173,66,129
201,31,157
199,34,152
236,49,152
227,27,145
197,7,144
206,15,135
198,35,74
215,90,5
219,133,-85
229,206,-161
240,175,-193
232,134,-238
261,220,-270
237,216,-257
93,145,-200
-93,52,-108
-201,8,1
-282,-32,124
-302,-145,262
-403,-263,426
-687,-170,319
-760,-306,150
-1002,-499,-139
-1191,-612,-369
-1117,-634,-482
-1072,-591,-532
-1086,-462,-463
-1123,-383,-385
-1034,-277,-346
-952,-101,-303
-887,39,-286
-806,90,-266
-729,73,-288
-492,-171,-250
-383,-284,-153
-333,-364,-198
-282,-483,-187
-281,-580,-209
-295,-638,-214
-263,-468,-153
-209,-276,-88
-148,-136,-36
-116,-44,-10
-91,-30,-2
-84,-55,-10
-73,-93,-22
-79,-141,-41
-77,-172,-49
-66,-167,-54
-57,-128,-34
-30,-139,-37
-49,-130,-43
-47,-123,-40
-55,-119,-43
-59,-124,-50
-95,-145,-75
-129,-179,-98
-163,-246,-141
-159,-241,-142
-141,-178,-112
-117,-137,-82
-88,-129,-77
-57,-121,-71
-40,-122,-69
4,-133,-60
-7,-136,-58
7,-138,-62
19,-147,-60
26,-134,-56
34,-137,-51
44,-116,-42
58,-98,-26
76,-95,-20
88,-92,-16
93,-78,-16
84,-77,-20
94,-87,-23
102,-112,-29
95,-98,-31
61,-115,-31
71,-101,-27
59,-86,-21
39,-70,-18
31,-61,-14
37,-64,-19
34,-90,-31
51,-87,-28
46,-58,-18
31,-32,-17
14,-21,-10
12,2,-2
1,17,-6
-23,51,-3
-28,83,0
-58,127,5
-110,140,-16
-167,109,-51
-248,157,-68
-380,185,-107
-494,197,-137
-602,170,-178
-719,145,-236
-839,268,-309
-951,111,-450
-1075,161,-521
-1141,189,-595
-1204,210,-682
-1290,270,-761
-1344,278,-820
-1448,131,-796
-1493,39,-814
-1486,-38,-865
-1197,-225,-825
-841,-330,-719
-539,-157,-573
-125,6,-450
186,-27,-262
305,5,9
377,87,384
472,90,686
621,125,845
740,174,942
930,132,987
1103,90,958
1198,51,905
1283,16,872
1411,12,858
1455,79,837
1442,111,839
1382,221,827
1518,245,922
1534,221,958
1505,154,987
1448,259,984
1310,200,891
1215,84,781
1309,199,667
1356,413,498
1392,608,345
1398,575,200
1257,495,40
1031,488,-129
938,573,-280
1002,512,-356
932,441,-359
806,392,-283
670,361,-144
532,320,1
371,248,108
337,222,194
367,169,231
323,171,158
321,166,61
288,137,-35
212,114,-88
148,67,-105
151,8,-39
82,-29,63
-55,-84,152
-185,-177,194
-319,-171,162
-379,-130,122
-403,-18,118
-450,6,115
-1170,-885,86
-1235,-553,190
-1316,-563,111
-1449,-628,-164
-1295,-279,-310
-1247,-30,-549
-1341,248,-553
-1556,416,-519
-1365,403,-488
-1179,347,-599
-1118,221,-630
-1047,-75,-543
-570,-731,-319
-516,-838,-343
-377,-799,-298
-345,-759,-271
-263,-609,-207
-230,-475,-150
-191,-340,-75
-181,-225,-23
-161,-97,28
-113,68,82
-75,155,107
-57,179,115
-55,150,100
-62,160,88
-73,105,57
-75,46,28
-50,103,36
-48,70,28
-61,10,3
-72,-18,-16
-64,2,-24
-63,-1,-29
-53,17,-33
-51,40,-27
-37,44,-26
-26,2,-30
-35,-19,-40
-26,-40,-41
-26,-61,-48
-33,-65,-44
-24,-29,-32
-13,-6,-20
-9,5,-17
-3,15,-14
-7,21,-17
3,55,-15
-1,134,-23
-28,144,-51
-52,142,-70
-37,271,-66
-47,295,-62
-71,220,-66
-84,142,-77
-99,53,-103
-107,1,-107
-111,-27,-110
-104,-43,-84
-96,-37,-74
-92,-38,-71
-79,-28,-70
-87,-39,-63
-78,-45,-49
-75,-27,-33
-72,-28,-32
-75,-6,-36
-94,-28,-47
-113,-47,-67
-125,-35,-72
-143,-30,-75
-187,22,-78
-217,61,-80
-268,85,-84
-371,142,-88
-491,166,-135
-597,276,-169
-744,349,-276
-915,431,-415
-1107,467,-579
-1300,473,-732
-1460,482,-883
-1632,493,-999
-1696,518,-1112
-1660,439,-1192
-1139,18,-1051
-740,-238,-782
-421,-140,-492
-177,-205,-293
48,-283,-91
334,-216,157
546,-281,379
795,-325,611
950,-366,720
1174,-394,829
1406,-334,904
1603,-315,993
1746,-379,1023
1695,-403,902
1671,-409,737
1616,-202,647
1536,-286,601
1683,69,640
1737,236,770
1743,285,826
1722,197,806
1727,196,743
1917,404,666
2008,563,497
1838,657,185
1739,797,-48
1700,841,-161
1533,871,-263
1448,812,-267
1401,549,-190
1187,426,-187
943,389,-178
776,302,-99
595,213,13
513,195,133
441,102,212
318,8,236
208,-35,217
101,-50,183
41,-66,178
39,-91,237
-48,-133,316
-156,-221,443
-340,-306,589
-515,-469,702
-694,-519,767
-891,-624,806
-1009,-680,770
-1208,833,-515
-1304,42,-1223
-1338,-292,-1142
-1314,-301,-856
-1368,-499,-541
-1275,-546,-391
-1030,-287,-397
-849,50,-400
-816,362,-235
-810,704,-69
-740,808,-7
-641,790,-61
-580,665,-99
-571,432,-119
-613,312,-107
-644,292,-97
-585,287,-136
-478,313,-98
-454,269,-16
-309,221,-17
-204,220,23
-152,166,14
-129,63,-13
-75,10,-36
-35,-3,-66
-51,-99,-112
-50,-210,-201
-96,-425,-299
-123,-663,-385
-93,-774,-408
-118,-879,-435
-107,-953,-410
-158,-1031,-388
-197,-1115,-372
-267,-1226,-347
-281,-1422,-371
-430,-1555,-364
-349,-1213,-318
-203,-665,-191
-182,-371,-92
-82,-205,-49
-32,-142,-29
-25,-104,-23
9,-96,-27
16,-87,-24
15,-77,-19
10,-56,-12
-17,-40,-8
-25,-40,-8
-33,-42,-10
-46,-65,-24
-51,-65,-31
-77,-73,-40
-92,-65,-50
-117,-82,-54
-135,-80,-60
-139,-77,-67
-145,-61,-61
-154,-46,-62
-150,5,-35
-161,46,-21
-198,56,-23
-252,84,-16
-263,161,-16
-304,224,-14
-345,245,-38
-395,256,-49
-470,248,-71
-578,265,-108
-708,275,-154
-825,387,-221
-934,360,-323
-1036,479,-421
-1214,444,-578
-1315,456,-706
-1443,425,-767
-1532,517,-761
-1713,404,-887
-1814,80,-977
-1779,8,-994
-1294,-346,-914
-774,-477,-704
-370,-461,-545
76,-388,-394
289,-319,-211
672,-223,78
961,-203,346
1226,-108,582
1456,-79,780
1614,-37,926
1707,-3,1010
1771,18,1058
1760,78,1073
1722,70,1067
1663,-46,1043
1546,-205,953
1368,-556,792
1209,-518,530
1308,-81,409
1752,539,560
1895,742,705
1712,760,792
1421,691,807
1253,526,782
1186,740,687
1131,866,536
1220,1043,545
1220,672,539
1078,474,434
1046,377,276
1082,352,129
1143,373,28
926,314,30
757,199,191
597,71,393
396,53,534
188,16,640
-45,-43,776
-298,-221,864
-484,-309,908
-678,-358,902
-905,-419,897
-1618,145,560
-2478,-194,-82
-2288,-610,-207
-2189,-383,-498
-2033,-528,-890
-1766,-655,-1181
-1743,-502,-972
-1668,-292,-687
-1399,-245,-578
-1155,-241,-519
-705,-523,-317
-615,-764,-268
-538,-824,-260
-501,-721,-220
-382,-456,-131
-356,-218,-56
-297,-15,6
-251,127,34
-170,292,92
-143,300,88
-133,242,49
-155,194,9
-101,164,1
-63,96,-5
-31,41,-8
-20,0,-9
-5,-57,-17
-2,-139,-37
1,-183,-44
34,-236,-62
36,-345,-128
36,-388,-130
39,-419,-144
32,-410,-163
14,-346,-156
6,-281,-119
-20,-228,-109
-15,-197,-86
-33,-182,-90
-23,-170,-89
-10,-140,-76
-11,-116,-70
-3,-100,-52
-10,-75,-55
-14,-52,-51
-26,-38,-54
-43,-69,-62
-52,-51,-75
-52,-53,-75
-25,-45,-60
-19,-47,-36
-30,-10,-36
-22,-37,-43
-14,-30,-55
-20,-20,-52
-48,-15,-44
-102,24,-33
-179,53,-44
-267,49,-80
-350,29,-161
-471,-12,-275
-606,-101,-426
-854,13,-629
-772,-158,-763
-992,-361,-851
-1176,-1056,-1127
-1283,-1509,-1160
-1423,-1805,-1095
-1533,-2009,-951
-1250,-1943,-583
-912,-1098,-96
-343,-495,344
-230,-319,754
109,-236,1107
332,-255,1396
547,-225,1683
766,-193,1973
949,-164,2224
1047,-124,2328
1133,-138,2339
1266,-216,2338
1307,-220,2316
1246,-206,2315
1165,-173,2364
1024,-130,2432
857,-48,2524
747,-141,2625
707,-192,2651
540,-210,2578
405,-155,2456
279,-134,2265
195,46,2047
105,286,1819
377,260,1669
740,246,1491
742,356,1170
665,512,845
555,638,608
400,813,483
605,805,508
824,712,583
666,757,641
443,653,797
368,346,989
251,231,1040
213,326,1000
218,388,930
94,445,845
-106,387,738
-266,309,666
-343,162,636
-333,-6,721
-505,-148,801
-767,-209,873
-1472,-595,746
-1939,-480,518
-1586,-712,370
-1552,-710,-165
-1294,-595,-554
-1041,-378,-714
-964,-135,-608
-873,-119,-392
-772,-157,-338
-693,-112,-335
-646,-123,-317
-482,-428,-235
-333,-520,-207
-367,-648,-252
-307,-699,-220
-356,-784,-233
-360,-768,-209
-318,-644,-192
-289,-556,-160
-237,-528,-149
-154,-419,-114
-145,-345,-83
-86,-304,-80
-76,-315,-76
-50,-298,-69
-30,-233,-48
-27,-187,-29
-12,-180,-33
2,-172,-43
9,-170,-47
10,-153,-56
12,-149,-65
11,-144,-74
21,-148,-70
19,-123,-72
13,-96,-62
11,-90,-63
-10,-46,-50
17,-24,-40
-23,-37,-40
51,-60,-46
2,-30,-47
0,-18,-38
4,-22,-44
0,-15,-37
-12,9,-27
-37,21,-26
-42,20,-25
-38,7,-36
-49,-11,-55
-65,-8,-59
-77,13,-59
-95,56,-57
-177,113,-47
-231,103,-118
-308,28,-209
-479,-31,-321
-564,-51,-430
-750,-143,-674
-832,-9,-790
-1011,-90,-969
-1187,-274,-948
-1357,-902,-787
-1784,-1144,-873
-1835,-1134,-823
-1931,-1253,-753
-1798,-1259,-545
-1515,-1270,-73
-825,-438,521
-494,-313,1042
-334,-152,1266
14,-58,1353
372,32,1337
722,116,1311
1047,111,1338
1372,123,1401
1636,167,1450
1797,217,1445
1890,236,1399
2011,329,1300
1931,331,1148
1780,351,1082
1752,437,1149
1751,583,1188
1660,652,1158
1767,722,1158
1784,776,1114
1458,678,964
1316,656,819
1483,724,695
1459,626,471
1305,699,254
1207,741,110
1161,673,-38
1154,666,-146
988,734,-189
874,576,-128
885,444,-6
705,567,91
499,372,233
358,319,416
131,305,535
18,162,559
-74,150,547
-189,147,518
-291,45,458
-441,-44,393
-648,-129,403
-877,-71,381
-1901,-145,-104
-1620,-197,-118
-1817,-180,-591
-1555,375,-714
-1249,414,-727
-1104,396,-474
-1035,480,-184
-883,666,-46
-785,798,-69
-675,794,-120
-661,858,-40
-558,755,-54
-514,605,-112
-514,422,-69
-365,187,-44
-294,132,-49
-214,89,-20
-169,57,-24
-132,56,-11
-118,73,-9
-101,87,-5
-80,53,-18
-55,38,-18
-45,45,-22
-48,54,-24
-51,33,-36
-56,-33,-59
-71,-76,-79
-90,-159,-102
-100,-248,-136
-112,-324,-159
-139,-431,-202
-128,-543,-242
-161,-634,-273
-163,-624,-264
-170,-617,-242
-152,-546,-229
-146,-499,-212
-158,-487,-228
-185,-496,-254
-207,-463,-199
-201,-435,-179
-194,-380,-155
-173,-349,-131
-164,-345,-134
-139,-321,-127
-138,-306,-129
-145,-330,-146
-155,-320,-151
-161,-331,-152
-173,-332,-156
-179,-390,-157
-180,-457,-172
-214,-335,-175
-192,-307,-164
-186,-195,-148
-241,-146,-164
-342,-121,-220
-472,-67,-265
-598,5,-290
-724,105,-300
-846,243,-403
-1002,304,-516
-1122,348,-629
-1266,375,-768
-1419,378,-866
-1535,471,-942
-1612,452,-1054
-1605,269,-1045
-1223,-262,-910
-803,-741,-658
-497,-638,-389
-34,-509,-144
257,-388,-69
586,-298,36
856,-202,175
1058,-145,367
1201,-95,571
1384,-29,823
1479,7,1055
1530,92,1252
1532,123,1382
1511,116,1472
1479,50,1439
1386,-3,1324
1235,-213,1136
1329,-18,1072
1471,102,1013
1380,64,835
1102,101,568
970,117,322
1235,451,230
1325,554,32
1303,622,-171
1289,713,-258
1150,761,-315
1027,689,-316
981,654,-240
922,583,-166
831,551,-103
722,471,-16
643,394,112
588,415,213
569,405,294
505,324,345
376,271,364
244,189,327
137,122,254
55,118,164
-21,79,94
-171,24,36
-346,-46,13
-475,-130,46
-601,-200,128
