Time,Phi (degrees),Theta (degrees),Yaw (degrees)
2.55000,-1.88597,23.26429,-53.97689
2.57200,-2.27605,23.85553,-53.34204
2.59400,-2.88815,24.28501,-52.62977
2.60600,-3.24589,24.45570,-52.41459
2.62800,-3.89154,24.71401,-52.29940
2.64000,-4.25703,24.75447,-52.29989
2.66200,-5.06005,24.71559,-52.56688
2.67400,-5.27523,24.18718,-52.80791
2.69600,-5.62022,23.97200,-53.20505
2.70800,-6.12381,23.59744,-53.26418
2.73000,-7.73199,22.55270,-52.95189
2.75200,-9.47408,21.45348,-52.26035
2.76400,-10.38620,20.89169,-51.97126
2.78600,-11.95906,20.15422,-51.66359
2.79800,-12.87299,19.79473,-51.50653
2.82000,-14.41710,19.19326,-51.25725
2.83200,-15.16635,18.99337,-51.19555
2.85400,-16.50549,18.88261,-51.12540
2.87600,-17.68687,18.87188,-51.04249
2.88800,-18.28255,18.84435,-50.94236
2.91000,-19.05379,18.56916,-50.84434
2.92200,-19.31345,18.35608,-50.94387
2.94400,-19.77570,17.85133,-51.09977
2.95600,-19.96353,17.49104,-51.19403
2.97800,-20.30000,16.66940,-51.41109
3.00000,-20.65948,15.79410,-51.45054
3.01200,-20.83639,15.41186,-51.47069
3.03400,-21.09321,15.01684,-51.49835
3.04600,-21.18397,14.91380,-51.51380
3.06800,-21.28806,14.87580,-51.53562
3.08000,-21.33488,14.86630,-51.54707
3.10200,-21.41574,14.82148,-51.56913
3.11400,-21.44770,14.76154,-51.58416
3.13600,-21.50821,14.58058,-51.61319
3.15800,-21.56849,14.35887,-51.64679
3.17000,-21.59868,14.23803,-51.65920
3.19200,-21.63857,14.06906,-51.68839
3.20400,-21.63563,13.97306,-51.70639
3.22600,-21.66594,13.80050,-51.72533
3.23800,-21.67697,13.71152,-51.73675
3.26000,-21.71673,13.55672,-51.75005
3.28200,-21.75239,13.39322,-51.75952
3.29400,-21.80887,13.28187,-51.75124
3.31600,-21.94922,13.03790,-51.72704
3.32800,-22.05566,12.84774,-51.70240
3.35000,-22.24684,12.47623,-51.65411
3.36200,-22.34056,12.32078,-51.63032
3.38400,-22.46744,12.11394,-51.60579
3.40600,-22.56394,11.91605,-51.58177
3.41800,-22.59324,11.82080,-51.57064
3.44000,-22.62422,11.64566,-51.55318
3.45200,-22.60538,11.54320,-51.55334
3.47400,-22.58178,11.35930,-51.55822
3.48600,-22.56249,11.25435,-51.55791
3.50800,-22.50390,11.04387,-51.56555
3.52000,-22.46916,10.94396,-51.56819
3.54200,-22.39443,10.75697,-51.58046
3.56400,-22.30634,10.59907,-51.59279
3.57600,-22.24533,10.52625,-51.60562
3.59800,-22.10747,10.40221,-51.63502
3.61000,-22.02422,10.33953,-51.65262
3.63200,-21.86002,10.24076,-51.67857
3.64400,-21.78061,10.19050,-51.68900
3.66600,-21.61941,10.08287,-51.70946
3.68800,-21.44500,9.93766,-51.73469
3.70000,-21.35826,9.87087,-51.74263
3.72200,-21.24301,9.72003,-51.76538
3.73400,-21.17396,9.64637,-51.77645
3.75600,-21.06146,9.54093,-51.79710
3.76800,-21.01518,9.49501,-51.80605
3.79000,-20.94587,9.42675,-51.82223
3.80228,-20.90357,9.38595,-51.82838
3.82400,-20.83536,9.27583,-51.83621
3.84600,-20.73365,9.16039,-51.84777
3.85800,-20.68402,9.11703,-51.85295
3.88000,-20.60922,9.07684,-51.85209
3.89200,-20.58176,9.06358,-51.85337
3.91400,-20.54026,9.07716,-51.85397
3.92600,-20.52612,9.09101,-51.84772
3.94800,-20.53578,9.16832,-51.82365
3.97000,-20.55715,9.28041,-51.78767
3.98200,-20.58257,9.37965,-51.76157
4.00400,-20.70596,9.57491,-51.68034
4.01600,-20.82130,9.64792,-51.61918
4.03800,-21.13252,9.82030,-51.46447
4.05000,-21.40777,9.92723,-51.34466
4.07200,-22.08347,10.12003,-51.07778
4.09400,-22.90869,10.26178,-50.77146
4.10600,-23.44534,10.29551,-50.57222
4.12800,-24.60572,10.41126,-50.05000
4.14000,-25.33405,10.32738,-49.71685
4.16200,-26.87827,10.23747,-48.98744
4.17400,-27.76737,10.16497,-48.53450
4.19600,-29.51371,9.98489,-47.58810
4.21300,-30.97788,9.85339,-46.75574
4.23500,-32.95335,9.61279,-45.61190
4.24700,-34.08430,9.38486,-45.06855
4.26900,-36.20528,8.82451,-44.13838
4.28100,-37.32747,8.43882,-43.64790
4.30300,-39.02932,7.51750,-42.95779
4.31500,-39.67691,6.99707,-42.70170
4.33700,-40.45304,6.34107,-42.24575
4.34929,-40.57493,6.12548,-41.98487
4.37100,-40.35390,5.87312,-41.74272
4.39300,-39.94418,5.88604,-41.74767
4.40500,-39.64987,6.11482,-41.92383
4.42700,-38.94476,6.79114,-42.56385
4.43900,-38.43786,7.24907,-42.99258
4.46100,-37.32922,8.20934,-43.85481
4.47300,-36.57127,8.72067,-44.37968
4.49500,-34.93506,9.56957,-45.36497
4.51700,-33.15826,10.30593,-46.34750
4.52900,-32.12092,10.65987,-46.88741
4.55100,-30.03874,11.26784,-47.88338
4.56300,-28.87154,11.61928,-48.39833
4.58500,-26.74115,12.27604,-49.34526
4.59700,-25.57705,12.70441,-49.83875
4.61900,-23.24281,13.54493,-50.87151
4.64100,-20.90147,14.32743,-51.98792
4.65300,-19.64332,14.69035,-52.64504
4.67500,-17.43227,15.43101,-53.89849
4.68700,-16.35729,15.76298,-54.53246
4.70900,-14.55023,16.13457,-55.58091
4.72100,-13.46418,16.39354,-56.08114
4.74300,-11.48453,17.07827,-56.67663
4.75500,-10.41462,17.56273,-56.87883
4.77700,-8.49435,18.36804,-57.01066
4.79900,-6.81969,19.03326,-56.97938
4.81100,-6.11169,19.37732,-56.85372
4.83300,-5.01398,20.10610,-56.38178
4.84500,-4.38787,20.45812,-56.07696
4.86700,-3.33438,21.01619,-55.50871
4.87900,-2.83041,21.29143,-55.27777
4.90100,-2.11480,21.81891,-54.96663
4.92300,-1.50919,22.29891,-54.88176
4.93500,-1.25285,22.48903,-54.93559
4.95700,-0.69422,22.79128,-55.21037
4.96900,-0.35486,22.91654,-55.37218
4.99100,0.16847,23.14640,-55.58001
5.00300,0.42283,23.26764,-55.62839
5.02500,0.78979,23.45204,-55.53931
5.04700,0.91629,23.58190,-55.33900
5.05900,0.99140,23.63220,-55.23556
5.08100,1.17125,23.64387,-55.19028
5.09300,1.25125,23.62164,-55.23530
5.11500,1.26533,23.50444,-55.43204
5.12700,1.19028,23.37185,-55.57405
5.14900,0.85387,23.13854,-55.81319
5.16100,0.61404,23.04221,-55.89987
5.18300,0.14053,23.01710,-56.10323
5.20500,-0.39772,23.02526,-56.22478
5.21700,-1.22404,22.37870,-56.33282
5.23900,-2.74293,21.66315,-56.60101
5.25100,-3.66514,21.25617,-56.71277
5.27300,-5.66730,20.40009,-56.64071
5.28500,-6.69035,20.17283,-56.46218
5.30700,-8.62872,20.03569,-55.74433
5.32900,-10.69003,20.19580,-54.91584
5.34100,-11.98490,20.44356,-54.45588
5.36300,-14.15637,20.78733,-53.72883
5.37500,-15.19952,20.91578,-53.24874
5.39700,-17.07675,21.06970,-52.37450
5.40900,-18.00135,20.95353,-52.02734
5.43100,-18.80211,19.88777,-51.92427
5.45300,-19.50027,18.61396,-51.86055
5.46500,-19.77478,17.99305,-51.85231
5.48700,-20.22955,16.87943,-51.86120
5.49900,-20.40876,16.39177,-51.87706
5.52100,-20.69192,15.70451,-51.91804
5.53300,-20.80384,15.44120,-51.96095
5.55500,-20.99775,15.14468,-52.04996
5.56700,-21.08935,15.07569,-52.09987
5.58900,-21.19677,15.20165,-52.17868
5.61100,-21.25936,15.43569,-52.24517
5.62300,-21.27393,15.59929,-52.28221
5.64500,-21.30705,15.87285,-52.34320
5.65700,-21.32784,16.01351,-52.36669
5.67900,-21.38723,16.20198,-52.39648
5.69100,-21.42251,16.25738,-52.40847
5.71300,-21.45980,16.41291,-52.41149
5.73500,-21.48721,16.52551,-52.42251
5.74700,-21.51106,16.54025,-52.42779
5.76900,-21.58074,16.51873,-52.42482
5.78100,-21.61555,16.51702,-52.41206
5.80300,-21.67178,16.50737,-52.38589
5.81500,-21.69912,16.51295,-52.36322
5.83700,-21.75178,16.55862,-52.31639
5.85900,-21.79257,16.61185,-52.26688
5.87100,-21.80124,16.61258,-52.24979
5.89300,-21.83477,16.57764,-52.21494
5.90500,-21.84235,16.54669,-52.20194
5.92700,-21.85505,16.45756,-52.18014
5.93900,-21.86788,16.40289,-52.17165
5.96100,-21.87793,16.35591,-52.15359
5.97300,-21.87508,16.34948,-52.14561
5.99500,-21.86741,16.35528,-52.12844
6.01700,-21.84750,16.38267,-52.11128
6.02900,-21.84365,16.39809,-52.09723
6.05100,-21.82154,16.46021,-52.05809
6.06300,-21.81953,16.55091,-52.00894
6.08500,-21.85975,16.71895,-51.87844
6.09700,-21.90568,16.80151,-51.79357
6.11900,-21.99128,17.10109,-51.57450
6.14100,-22.09722,17.44943,-51.34626
6.15300,-22.16777,17.59014,-51.24013
6.17500,-22.31271,17.74813,-51.07050
6.18700,-22.39617,17.76845,-50.98670
6.21400,-22.58847,17.71743,-50.82613
6.22600,-22.67843,17.67184,-50.75991
6.23800,-22.75665,17.62169,-50.71682
6.26000,-22.88918,17.54364,-50.64680
6.28200,-23.00860,17.46844,-50.58329
6.29400,-23.06606,17.43410,-50.54607
6.31600,-23.18025,17.35771,-50.49225
6.32800,-23.23203,17.31599,-50.47475
6.35000,-23.31248,17.26738,-50.45558
6.36200,-23.35175,17.24025,-50.44678
6.38400,-23.43483,17.22633,-50.41268
6.40600,-23.54381,17.18470,-50.37679
6.41800,-23.61900,17.14347,-50.34920
6.44000,-23.78486,17.06985,-50.28324
6.45200,-23.88278,17.03490,-50.24569
6.47400,-24.13870,17.02727,-50.14131
6.48600,-24.30088,17.04509,-50.07175
6.50800,-24.67015,17.09813,-49.92570
6.52000,-24.94320,17.16851,-49.82770
6.54200,-25.63215,17.31195,-49.57138
6.56400,-26.48291,17.55431,-49.20682
6.57600,-27.08829,17.69594,-48.90677
6.59800,-28.50766,17.96856,-48.12234
6.61000,-29.45948,18.07121,-47.56840
6.63200,-31.51695,18.12666,-46.36088
6.65400,-33.85876,18.04585,-44.96223
6.66600,-35.28285,17.93012,-44.12371
6.68800,-37.98466,17.58063,-42.45990
6.70000,-39.43249,17.30587,-41.54832
6.72200,-41.29100,16.41131,-40.40937
6.73400,-41.92274,15.90097,-40.08391
6.75600,-42.58879,15.31808,-39.70765
6.76800,-42.73347,15.06241,-39.64949
6.79000,-42.62455,14.70045,-39.82288
6.80228,-42.32296,14.66047,-40.02551
6.82400,-41.43689,14.71839,-40.66870
6.84600,-40.13079,14.92359,-41.60549
6.85800,-39.28115,15.05403,-42.20221
6.88000,-37.38043,15.32908,-43.44616
6.89200,-36.16472,15.52917,-44.14753
6.91400,-33.63856,15.94476,-45.53412
6.93600,-30.88316,16.24720,-47.02439
6.94800,-29.43242,16.32356,-47.77289
6.97000,-26.76089,16.30800,-48.97905
6.98200,-25.39934,16.39034,-49.49942
7.00400,-23.01775,16.40154,-50.44722
7.01600,-21.64493,16.63096,-50.88401
7.03800,-19.03281,17.31433,-51.78831
7.05000,-17.60452,17.71107,-52.31871
7.07200,-15.02229,18.27141,-53.31973
7.09400,-12.48086,18.74525,-54.24968
7.10600,-10.93466,19.13352,-54.69049
7.12800,-8.05155,19.98856,-55.25667
7.14000,-6.67953,20.48255,-55.33358
7.16200,-4.40965,21.53867,-55.26331
7.17400,-3.22896,22.14478,-55.09218
7.19600,-1.33927,23.29848,-54.66002
7.21800,0.44255,24.38358,-54.35764
7.23000,1.40739,24.78725,-54.23043
7.25200,2.89279,25.36793,-53.97202
7.26400,3.52855,25.65932,-53.85396
7.28600,4.51928,26.07304,-53.71447
7.29800,4.96570,26.22765,-53.70781
7.32000,5.75395,26.47206,-53.83861
7.33200,6.15749,26.53033,-53.97095
7.35400,6.74180,26.50565,-54.26815
7.37600,7.16202,26.42405,-54.49453
7.38800,7.29963,26.37091,-54.58545
7.41000,7.46625,26.25247,-54.75147
7.42200,7.51052,26.17023,-54.86624
7.44400,7.64032,25.93751,-55.20315
7.45600,7.67139,25.73400,-55.47658
7.47800,7.56243,25.22233,-56.28394
7.50000,7.26626,24.47679,-57.22364
7.51200,6.98818,24.03005,-57.73893
7.53400,6.21972,23.07351,-58.71458
7.54600,5.69533,22.51968,-59.21108
7.56800,3.81943,23.68950,-58.47428
7.58000,2.48809,23.76470,-57.46609
7.60200,0.02088,23.40514,-55.70803
7.61400,-1.20936,23.17785,-54.99747
7.63600,-3.33871,22.47985,-54.22110
7.65800,-5.30748,21.63684,-53.68580
7.67000,-6.16698,21.39875,-53.41250
7.69200,-7.51803,21.40151,-52.83792
7.70400,-8.20268,21.62724,-52.64272
7.72600,-9.42084,22.53296,-52.38400
7.73800,-10.00495,23.09545,-52.27463
7.76000,-10.98263,24.11960,-51.94501
7.78200,-11.89490,25.04465,-51.59750
7.79400,-12.37047,25.39013,-51.40795
7.81600,-13.28372,25.81808,-51.10894
7.82800,-13.80137,26.01383,-50.96706
7.85000,-14.70636,26.28657,-50.61200
7.86200,-15.12582,26.49845,-50.42485
7.88400,-15.78986,26.84192,-50.24099
7.90600,-16.26041,27.10361,-50.08990
7.91800,-16.42382,27.26781,-50.03048
7.94000,-16.62632,27.51408,-49.91116
7.95200,-16.71814,27.56997,-49.85211
7.97400,-16.81224,27.57631,-49.72981
7.98600,-16.83775,27.56794,-49.65811
8.00800,-16.92033,27.40893,-49.47275
8.02000,-16.97587,27.22395,-49.35451
8.04200,-17.16334,26.61482,-49.09244
8.06400,-17.40618,25.64944,-48.78109
8.07600,-17.50960,25.02486,-48.63433
8.09800,-17.75010,23.73208,-48.42945
8.11000,-17.85315,22.98170,-48.36212
8.13200,-18.08857,21.50254,-48.33541
8.15400,-18.31881,19.94354,-48.34131
8.16600,-18.48424,19.02249,-48.43295
8.18800,-18.79437,17.07618,-48.58526
8.20000,-19.07104,15.91780,-48.70813
8.21700,-19.39839,14.55941,-48.81665
8.23900,-19.62569,13.56922,-48.88255
8.25100,-19.74200,13.27407,-48.91368
8.27300,-19.82047,12.98116,-48.95129
8.28500,-19.82853,12.87669,-48.96960
8.30700,-19.83982,12.73467,-48.99239
8.32900,-19.80166,12.60401,-49.00748
8.34100,-19.77534,12.54327,-49.01556
8.36300,-19.72338,12.43074,-49.03314
8.37500,-19.69752,12.39008,-49.04253
8.39700,-19.68892,12.33713,-49.05704
8.40900,-19.68990,12.30823,-49.06499
8.43100,-19.70593,12.25703,-49.07722
8.45300,-19.73838,12.17532,-49.08257
8.46500,-19.76174,12.12536,-49.08034
8.48700,-19.84152,12.02588,-49.06833
8.49900,-19.89359,11.97423,-49.05365
8.52100,-20.02625,11.85349,-49.02880
8.53300,-20.11631,11.78798,-49.00989
8.55500,-20.28629,11.65953,-48.96559
8.56700,-20.38302,11.60378,-48.94167
8.58900,-20.58255,11.50655,-48.88793
8.61100,-20.76929,11.47869,-48.84547
8.62300,-20.87765,11.50569,-48.82156
8.64500,-21.12832,11.57231,-48.76992
8.65700,-21.30642,11.62227,-48.73871
8.67900,-21.64425,11.81630,-48.64475
8.69100,-21.86360,11.97173,-48.57660
8.71300,-22.33513,12.26972,-48.40764
8.73500,-22.87611,12.56519,-48.21701
8.74700,-23.23089,12.72214,-48.09860
8.76900,-24.03227,12.98784,-47.82449
8.78100,-24.56997,13.12968,-47.63927
8.80300,-25.72709,13.45989,-47.15190
8.81500,-26.46257,13.59663,-46.82059
8.83700,-28.00515,13.93122,-46.01071
8.85900,-29.84230,14.10324,-45.02193
8.87100,-30.93338,14.13904,-44.39432
8.89300,-33.13604,14.10020,-43.18998
8.90500,-34.37410,14.12493,-42.50804
8.92700,-36.95515,13.82804,-41.19650
8.93900,-38.39126,13.45206,-40.58566
8.96100,-40.97851,12.63538,-39.53402
8.97300,-41.99788,12.00248,-39.19235
8.99500,-43.08967,10.89235,-38.92367
9.01700,-43.60571,9.94058,-38.81443
9.02900,-43.55228,9.53606,-38.80095
9.05100,-43.15016,9.03045,-38.88998
9.06300,-42.63419,8.94971,-39.04476
9.08500,-41.26144,9.05739,-39.57877
9.09700,-40.30379,9.27569,-39.95771
9.11900,-38.20287,9.85569,-40.84776
9.14100,-35.85370,10.56404,-41.88597
9.15300,-34.48901,10.98786,-42.50206
9.17500,-31.87692,11.78483,-43.70066
9.18700,-30.45197,12.23985,-44.35709
9.20900,-27.87226,13.01932,-45.59148
9.22100,-26.49240,13.33787,-46.30426
9.24300,-24.04972,13.66184,-47.62930
9.25500,-22.88067,13.51919,-48.34254
9.27700,-20.99336,13.10381,-49.29776
9.29900,-19.08972,13.16184,-49.86930
9.31100,-17.75852,13.67673,-50.13771
9.33300,-15.13187,14.94586,-50.76686
9.34500,-13.76331,15.62891,-51.20444
9.36700,-11.60921,16.77114,-52.09261
9.37900,-10.54287,17.25873,-52.60226
9.40100,-8.71289,18.39180,-53.38266
9.42300,-7.00406,19.64033,-54.01966
9.43500,-5.99808,20.44378,-54.35196
9.45700,-4.11649,21.40618,-55.00583
9.46900,-3.21093,21.77273,-55.29651
9.49100,-1.66649,22.29391,-55.67254
9.50300,-0.83796,22.55347,-55.76842
9.52500,0.71121,23.05406,-55.80878
9.54700,1.97523,23.47428,-55.86329
9.55900,2.59264,23.61418,-56.02184
9.58100,3.62645,23.68073,-56.60223
9.59300,4.08844,23.69312,-57.03078
9.61500,4.71666,23.64865,-57.96735
9.62700,4.92986,23.56952,-58.58193
9.64900,5.01787,23.17365,-59.81195
9.66100,4.93667,22.89065,-60.50978
9.68300,4.51246,22.31233,-61.77329
9.70500,3.76636,21.66478,-63.02385
9.71700,2.74741,21.74739,-63.47050
9.73900,-0.62217,21.48964,-63.34797
