Time,Phi (degrees),Theta (degrees),Yaw (degrees)
2.55000,-0.37909,25.94686,-11.65151
2.57200,-0.75607,26.59406,-11.06122
2.59400,-1.36242,27.06606,-10.12253
2.60600,-1.71466,27.25456,-9.90717
2.62800,-2.34051,27.53838,-9.79624
2.64000,-2.69745,27.58757,-9.83627
2.66200,-3.46910,27.57118,-10.12113
2.67400,-3.64581,27.00790,-10.38992
2.69600,-3.92526,26.79196,-10.61583
2.70800,-4.39369,26.43573,-10.58964
2.73000,-6.01670,25.39232,-10.25320
2.75200,-7.80500,24.29109,-9.36156
2.76400,-8.74528,23.72835,-8.97289
2.78600,-10.34889,22.99677,-8.42671
2.79800,-11.28321,22.63684,-8.16086
2.82000,-12.86268,22.02584,-7.76576
2.83200,-13.62676,21.82183,-7.64305
2.85400,-14.99650,21.70698,-7.33650
2.87600,-16.20218,21.69694,-7.08213
2.88800,-16.81272,21.66997,-6.80064
2.91000,-17.61349,21.38870,-6.37952
2.92200,-17.87558,21.17693,-6.45006
2.94400,-18.34739,20.67345,-6.42115
2.95600,-18.53703,20.31322,-6.35407
2.97800,-18.87470,19.48934,-6.36870
3.00000,-19.23486,18.61364,-6.39198
3.01200,-19.41300,18.22643,-6.40609
3.03400,-19.67003,17.82591,-6.52581
3.04600,-19.75956,17.71987,-6.54229
3.06800,-19.85754,17.68029,-6.57125
3.08000,-19.90190,17.66956,-6.58620
3.10200,-19.97852,17.62340,-6.61349
3.11400,-20.00814,17.56217,-6.63085
3.13600,-20.06455,17.37861,-6.66274
3.15800,-20.12103,17.15441,-6.69791
3.17000,-20.15009,17.03176,-6.70999
3.19200,-20.18722,16.85853,-6.74174
3.20400,-20.18199,16.76102,-6.76140
3.22600,-20.20994,16.58480,-6.78275
3.23800,-20.21921,16.49387,-6.79595
3.26000,-20.25673,16.33587,-6.81201
3.28200,-20.28921,16.16995,-6.82482
3.29400,-20.34573,16.05701,-6.81700
3.31600,-20.48546,15.81237,-6.79310
3.32800,-20.59288,15.62195,-6.76678
3.35000,-20.78726,15.24641,-6.71518
3.36200,-20.88287,15.08786,-6.69071
3.38400,-21.01031,14.87681,-6.66771
3.40600,-21.10824,14.67401,-6.64493
3.41800,-21.13807,14.57653,-6.63474
3.44000,-21.17026,14.39680,-6.61896
3.45200,-21.15132,14.29167,-6.62017
3.47400,-21.12724,14.10299,-6.62714
3.48600,-21.10822,13.99512,-6.62768
3.50800,-21.04948,13.77831,-6.63703
3.52000,-21.01470,13.67541,-6.64078
3.54200,-20.93977,13.48226,-6.65504
3.56400,-20.85123,13.31800,-6.67024
3.57600,-20.78943,13.24124,-6.68525
3.59800,-20.64970,13.11003,-6.71898
3.61000,-20.56531,13.04358,-6.73901
3.63200,-20.39850,12.93823,-6.77027
3.64400,-20.31796,12.88483,-6.78341
3.66600,-20.15465,12.77108,-6.80860
3.68800,-19.97785,12.61937,-6.83788
3.70000,-19.89004,12.54952,-6.84812
3.72200,-19.77273,12.39195,-6.87461
3.73400,-19.70274,12.31427,-6.88793
3.75600,-19.58785,12.20246,-6.91350
3.76800,-19.54028,12.15310,-6.92544
3.79000,-19.46886,12.07872,-6.94716
3.80228,-19.42562,12.03456,-6.95627
3.82400,-19.35638,11.91839,-6.96815
3.84600,-19.25260,11.79611,-6.98462
3.85800,-19.20190,11.74879,-6.99296
3.88000,-19.12489,11.70222,-6.99905
3.89200,-19.09626,11.68528,-7.00432
3.91400,-19.05276,11.69278,-7.01273
3.92600,-19.03777,11.70325,-7.01096
3.94800,-19.04626,11.77541,-6.99612
3.97000,-19.06721,11.88198,-6.97011
3.98200,-19.09161,11.97930,-6.95083
4.00400,-19.21446,12.17287,-6.88195
4.01600,-19.33097,12.24502,-6.82627
4.03800,-19.64452,12.41637,-6.68364
4.05000,-19.92299,12.52407,-6.57008
4.07200,-20.60783,12.71928,-6.31345
4.09400,-21.44454,12.86527,-6.01546
4.10600,-21.98913,12.90157,-5.81974
4.12800,-23.17093,13.02072,-5.30570
4.14000,-23.91508,12.94016,-4.97220
4.16200,-25.49520,12.86424,-4.23967
4.17400,-26.40645,12.79969,-3.78484
4.19600,-28.20122,12.63573,-2.83145
4.21300,-29.70904,12.51923,-1.99206
4.23500,-31.74451,12.29928,-0.83711
4.24700,-32.90540,12.07953,-0.28698
4.26900,-35.07972,11.53137,0.65838
4.28100,-36.22969,11.15154,1.15660
4.30300,-37.95194,10.25024,1.86222
4.31500,-38.60485,9.73848,2.12566
4.33700,-39.38913,9.09816,2.58955
4.34929,-39.51544,8.89142,2.85189
4.37100,-39.29124,8.65065,3.09290
4.39300,-38.86532,8.67061,3.08021
4.40500,-38.55298,8.89989,2.89445
4.42700,-37.79826,9.57067,2.22929
4.43900,-37.25991,10.02366,1.78387
4.46100,-36.08900,10.97253,0.88679
4.47300,-35.29415,11.47597,0.34173
4.49500,-33.58920,12.30892,-0.67994
4.51700,-31.74387,13.02803,-1.69815
4.52900,-30.66906,13.37187,-2.25726
4.55100,-28.51796,13.96013,-3.28796
4.56300,-27.31428,14.30090,-3.82309
4.58500,-25.01040,14.95703,-4.83505
4.59700,-23.82093,15.36802,-5.35158
4.61900,-21.43364,16.17331,-6.42894
4.64100,-19.03760,16.91752,-7.58798
4.65300,-17.74847,17.25736,-8.26689
4.67500,-15.48167,17.95528,-9.57757
4.68700,-14.37931,18.26709,-10.24415
4.70900,-12.39995,18.62263,-11.30151
4.72100,-11.27992,18.86648,-11.81885
4.74300,-9.24817,19.53435,-12.37190
4.75500,-8.15364,20.01330,-12.60629
4.77700,-6.19650,20.81504,-12.76263
4.79900,-4.49439,21.48288,-12.77865
4.81100,-3.77713,21.83308,-12.65553
4.83300,-2.67034,22.58108,-12.21479
4.84500,-2.04223,22.94543,-11.92178
4.86700,-0.98551,23.52485,-11.45945
4.87900,-0.47733,23.80943,-11.27025
4.90100,0.35463,24.29451,-11.07276
4.92300,1.09127,24.72425,-11.14505
4.93500,1.35914,24.91581,-11.26798
4.95700,1.95693,25.20613,-11.68390
4.96900,2.31820,25.32356,-11.92469
4.99100,2.87716,25.54315,-12.28162
5.00300,3.14736,25.66219,-12.40194
5.02500,3.53625,25.84853,-12.43325
5.04700,3.78818,26.00874,-12.43184
5.05900,3.87151,26.06286,-12.41161
5.08100,4.06878,26.07735,-12.36577
5.09300,4.16136,26.05295,-12.42152
5.11500,4.20250,25.92579,-12.65009
5.12700,4.14193,25.78633,-12.80321
5.14900,3.83014,25.54249,-13.03750
5.16100,3.60302,25.44186,-13.13558
5.18300,3.15640,25.40870,-13.32039
5.20500,2.64567,25.40963,-13.58718
5.21700,1.81768,24.76024,-13.63497
5.23900,0.29871,24.03434,-13.97523
5.25100,-0.61754,23.62290,-14.07131
5.27300,-2.62651,22.77577,-13.86917
5.28500,-3.65381,22.56009,-13.64171
5.30700,-5.61080,22.46229,-12.86158
