Time,Phi (degrees),Theta (degrees)
3.48600,-22.55640,11.24987
3.50800,-22.49788,11.03944
3.52000,-22.46318,10.93955
3.54200,-22.38852,10.75261
3.56400,-22.30051,10.59476
3.57600,-22.23953,10.52196
3.59800,-22.10174,10.39797
3.61000,-22.01852,10.33532
3.63200,-21.85438,10.23659
3.64400,-21.77501,10.18635
3.66600,-21.61388,10.07876
3.68800,-21.43953,9.93360
3.70000,-21.35283,9.86683
3.72200,-21.23764,9.71603
3.73400,-21.16862,9.64240
3.75600,-21.05619,9.53700
3.76800,-21.00994,9.49110
3.79000,-20.94069,9.42288
3.80228,-20.89842,9.38210
3.82400,-20.83027,9.27203
3.84600,-20.72862,9.15662
3.85800,-20.67902,9.11329
3.88000,-20.60427,9.07314
3.89200,-20.57685,9.05990
3.91400,-20.53540,9.07352
3.92600,-20.52129,9.08739
3.94800,-20.53100,9.16474
3.97000,-20.55241,9.27688
3.98200,-20.57787,9.37615
4.00400,-20.70129,9.57144
4.01600,-20.81667,9.64448
4.03800,-21.12792,9.81691
4.05000,-21.40319,9.92387
4.07200,-22.07892,10.11673
4.09400,-22.90418,10.25854
4.10600,-23.44084,10.29230
4.12800,-24.60123,10.40812
4.14000,-25.32957,10.32430
4.16200,-26.87381,10.23447
4.17400,-27.76289,10.16202
4.19600,-29.50924,9.98205
4.21300,-30.97342,9.85063
4.23500,-32.94887,9.61016
4.24700,-34.07985,9.38228
4.26900,-36.20083,8.82203
4.28100,-37.32303,8.43640
4.30300,-38.79363,7.61912
4.31500,-39.26448,7.16977
4.33700,-39.68385,6.68261
4.34929,-39.62035,6.57116
4.37100,-39.06404,6.56111
4.39300,-38.36546,6.86383
4.40500,-37.92419,7.23670
4.42700,-36.94509,8.11571
4.43900,-36.28781,8.63403
4.46100,-34.90396,9.64281
4.47300,-34.00462,10.15286
4.49500,-32.11753,10.95915
4.51700,-30.13169,11.64775
4.52900,-29.00071,11.97963
4.55100,-26.76711,12.56121
4.56300,-25.52948,12.89614
4.58500,-23.28359,13.51119
4.59700,-22.12335,13.90253
4.61900,-19.79322,14.66834
4.64100,-17.45615,15.37246
4.65300,-16.20088,15.69047
4.67500,-13.99572,16.35299
4.68700,-12.92610,16.64542
4.70900,-11.13497,16.95131
4.72100,-10.12784,17.15033
4.74300,-8.30803,17.72070
4.75500,-7.34399,18.14578
4.77700,-5.64525,18.85872
4.79900,-4.21933,19.41759
4.81100,-3.63555,19.70769
4.83300,-2.74271,20.36568
4.84500,-2.21614,20.71179
4.86700,-1.31213,21.29673
4.87900,-0.88571,21.59851
4.90100,-0.18539,22.13070
4.92300,0.40570,22.60873
4.93500,0.65365,22.79504
4.95700,1.06307,23.06391
4.96900,1.33439,23.14854
4.99100,1.71982,23.28512
5.00300,1.90140,23.36040
5.02500,2.13989,23.47991
5.04700,2.25301,23.61314
5.05900,2.25368,23.67222
5.08100,2.29359,23.73282
5.09300,2.29427,23.75088
5.11500,2.14888,23.69983
5.12700,1.98019,23.60492
5.14900,1.48890,23.44633
5.16100,1.17676,23.38403
5.18300,0.57675,23.43543
5.20500,-0.11597,23.52275
5.21700,-1.00849,23.18102
5.23900,-2.52647,22.45615
5.25100,-3.37977,21.97155
5.27300,-5.38311,20.90102
5.28500,-6.41692,20.52655
5.30700,-8.34277,20.17209
5.32900,-10.40904,20.33454
5.34100,-11.70633,20.58356
5.36300,-13.88274,20.92773
5.37500,-14.92873,21.05730
5.39700,-16.81137,21.21245
5.40900,-17.73876,21.09677
5.43100,-18.61530,20.12385
5.45300,-19.31723,18.84765
5.46500,-19.59353,18.22536
5.48700,-20.05136,17.10916
5.49900,-20.23203,16.62008
5.52100,-20.51757,15.93019
5.53300,-20.63059,15.66540
5.55500,-20.82629,15.36616
5.56700,-20.91878,15.29570
5.58900,-21.02766,15.41901
5.61100,-21.09166,15.65047
5.62300,-21.10695,15.81268
5.64500,-21.14145,16.08372
5.65700,-21.16303,16.22306
5.67900,-21.22396,16.40915
5.69100,-21.26013,16.46328
5.71300,-21.29907,16.61654
5.73500,-21.32811,16.72687
5.74700,-21.35289,16.74039
5.76900,-21.42433,16.71667
5.78100,-21.46012,16.71381
5.80300,-21.51817,16.70207
5.81500,-21.54650,16.70654
5.83700,-21.60097,16.75020
5.85900,-21.64355,16.80145
5.87100,-21.65317,16.80108
5.89300,-21.68847,16.76416
5.90500,-21.69700,16.73211
5.92700,-21.71143,16.64100
5.93900,-21.72520,16.58526
5.96100,-21.73691,16.53631
5.97300,-21.73494,16.52881
5.99500,-21.72887,16.53269
6.01700,-21.71051,16.55816
6.02900,-21.70752,16.57256
6.05100,-21.68699,16.63286
6.06300,-21.68588,16.72263
6.08500,-21.72785,16.88907
6.09700,-21.77477,16.97080
6.11900,-21.86228,17.26899
6.14100,-21.97009,17.61596
6.15300,-22.04163,17.75591
6.17500,-22.18836,17.91242
6.18700,-22.27280,17.93193
6.21400,-22.46729,17.87904
6.22600,-22.55820,17.83261
6.23800,-22.63730,17.78158
6.26000,-22.77140,17.70191
6.28200,-22.89235,17.62509
6.29400,-22.95063,17.58989
6.31600,-23.06630,17.51189
6.32800,-23.11884,17.46928
6.35000,-23.20062,17.41902
6.36200,-23.24059,17.39099
6.38400,-23.32500,17.37548
6.40600,-23.43531,17.33228
6.41800,-23.51126,17.29022
6.44000,-23.67851,17.21509
6.45200,-23.77719,17.17934
6.47400,-24.03455,17.17030
6.48600,-24.19753,17.18739
6.50800,-24.56827,17.23911
6.52000,-24.84216,17.30881
6.54200,-25.53279,17.45114
6.56400,-26.38542,17.69257
6.57600,-26.99207,17.83386
6.59800,-28.41433,18.10620
6.61000,-29.36805,18.20887
6.63200,-31.42954,18.26460
6.65400,-33.77589,18.18425
6.66600,-35.20266,18.06884
6.68800,-37.90973,17.71998
6.70000,-39.36044,17.44551
6.72200,-40.93645,16.72283
6.73400,-41.36076,16.31537
6.75600,-41.65151,15.94568
6.76800,-41.57983,15.80045
6.79000,-41.07713,15.61570
6.80228,-40.55321,15.67688
6.82400,-39.28662,15.87945
6.84600,-37.58162,16.20436
6.85800,-36.53956,16.36259
6.88000,-34.30438,16.68212
6.89200,-32.93410,16.89062
6.91400,-30.18201,17.31890
6.93600,-27.26727,17.56465
6.94800,-25.74906,17.56627
6.97000,-23.09258,17.46353
6.98200,-21.74102,17.50710
7.00400,-19.38142,17.44886
7.01600,-18.01802,17.64527
7.03800,-15.41639,18.26223
7.05000,-13.99288,18.62091
7.07200,-11.42294,19.11103
7.09400,-8.89722,19.52023
7.10600,-7.43309,19.84959
7.12800,-4.73941,20.57934
7.14000,-3.49671,21.00941
7.16200,-1.47541,22.01438
7.17400,-0.43814,22.59525
7.19600,1.17465,23.68736
7.21800,2.66572,24.71886
7.23000,3.46021,25.09168
7.25200,4.63645,25.60681
7.26400,5.10614,25.88784
7.28600,5.83026,26.32714
7.29800,6.14745,26.48574
7.32000,6.70591,26.72838
7.33200,7.00058,26.77790
7.35400,7.40374,26.72384
7.37600,7.64686,26.59455
7.38800,7.71266,26.52600
7.41000,7.72812,26.40228
7.42200,7.77105,26.31855
7.44400,7.76811,26.11781
7.45600,7.71431,25.95011
7.47800,7.42389,25.49114
7.50000,6.93089,24.78595
7.51200,6.53646,24.35030
7.53400,5.55778,23.40686
7.54600,4.95006,22.80235
7.56800,3.35953,24.28349
7.58000,2.01982,24.34842
7.60200,-0.55504,24.09344
7.61400,-1.83904,23.96097
7.63600,-4.04366,23.37983
7.65800,-6.00931,22.52123
7.67000,-6.89828,22.18438
7.69200,-8.28015,22.04001
7.70400,-8.96416,22.25898
7.72600,-10.18218,23.15438
7.73800,-10.76629,23.71174
7.76000,-11.74479,24.72572
7.78200,-12.65821,25.64019
7.79400,-13.13321,25.98029
7.81600,-14.04346,26.39919
7.82800,-14.55923,26.59003
7.85000,-15.46082,26.85341
7.86200,-15.87867,27.06033
7.88400,-16.53792,27.39643
7.90600,-17.00317,27.65082
7.91800,-17.16352,27.81141
7.94000,-17.35976,28.05144
7.95200,-17.44774,28.10395
7.97400,-17.53426,28.10408
7.98600,-17.55581,28.09213
8.00800,-17.63060,27.92638
8.02000,-17.68168,27.73733
8.04200,-17.86002,27.12037
8.06400,-18.09241,26.14711
8.07600,-18.18943,25.51836
8.09800,-18.41734,24.21796
8.11000,-18.51318,23.46392
8.13200,-18.73433,21.97875
8.15400,-18.95071,20.41470
8.16600,-19.10789,19.49136
8.18800,-19.40289,17.54157
8.20000,-19.67113,16.38171
8.21700,-19.98856,15.02059
8.23900,-20.20624,14.02607
8.25100,-20.31807,13.72851
8.27300,-20.38917,13.43098
8.28500,-20.39343,13.32400
8.30700,-20.39799,13.17729
8.32900,-20.35328,13.04193
8.34100,-20.32344,12.97865
8.36300,-20.26506,12.86150
8.37500,-20.23580,12.81835
8.39700,-20.22104,12.76084
8.40900,-20.21870,12.72947
8.43100,-20.22872,12.67376
8.45300,-20.25521,12.58753
8.46500,-20.27538,12.53508
8.48700,-20.34940,12.43101
8.49900,-20.39842,12.37681
8.52100,-20.52547,12.25144
8.53300,-20.61254,12.18339
8.55500,-20.77713,12.05023
8.56700,-20.87098,11.99195
8.58900,-21.06533,11.89001
8.61100,-21.24700,11.85760
8.62300,-21.35269,11.88213
8.64500,-21.59859,11.94420
8.65700,-21.77415,11.99168
8.67900,-22.10778,12.18091
8.69100,-22.32507,12.33362
