-28,47,-10
5,-73,-11
8,-60,-10
-28,37,-5
-17,11,-9
-15,4,-6
-26,38,-5
-11,-12,-9
-6,-15,-5
-14,-3,-10
-5,-22,-5
-15,13,-10
-20,9,-4
-14,0,-7
-18,13,-3
-11,-15,-11
-9,-19,-8
-20,8,-12
-10,-10,-8
-12,-8,-8
-15,20,-6
-14,-2,-11
-9,-13,-9
-19,9,-11
-5,-22,-10
-15,-5,-8
-16,4,-4
-9,-3,-11
-14,3,-10
-10,-8,-8
-12,6,-5
-11,1,-5
-10,-4,-7
-12,2,-9
-13,-6,-7
-11,3,-9
-9,-6,-9
-12,7,-7
-7,-6,-5
-9,-4,-4
-11,-2,-9
-11,-2,-6
-12,7,-9
-12,-3,-7
-14,0,-7
-11,-8,-6
-9,-4,-4
-13,2,-11
-10,-3,-5
-9,2,-9
-11,-5,-11
-11,-1,-7
-9,-8,-10
-7,2,-5
-17,1,-10
-11,-3,-12
-17,1,-8
-15,1,-11
-17,2,-8
-11,-3,-6
-5,0,-7
-10,-1,-8
-11,2,-6
-9,-8,-5
-14,5,-8
-14,1,-10
-11,-2,-4
-14,2,-5
-13,-5,-10
-15,-4,-3
-8,1,-7
-11,0,-9
-11,-3,-6
-10,-5,-8
-12,-1,-8
-8,0,-9
-11,1,-6
-7,1,-7
-9,1,-10
-12,-5,-7
-8,1,-8
-12,-7,-5
-15,-2,-5
-15,3,-9
-6,-8,-9
-16,5,-5
-14,1,-6
-8,-3,-4
-12,1,-10
-12,-12,-5
-14,-2,-8
-14,0,-8
-12,-3,-6
-9,-1,-6
-11,-5,-8
-12,1,-7
-11,-7,-7
-12,-4,-7
-12,2,-10
-9,-8,-8
-14,3,-6
26,-120,-11
94,-328,-20
-287,812,-339
-370,1353,-244
31,-94,176
90,-338,121
91,-334,-13
-38,83,-4
-38,79,-8
34,-145,-13
-43,96,-6
-6,-9,-5
-50,114,-223
-9,-6,-86
-97,287,315
-34,95,103
-16,-8,5
9,-82,-44
23,-111,-17
-47,130,-90
-41,86,10
48,-204,67
14,-79,132
-11,7,50
-136,399,21
4,-37,389
-6,-35,495
-2,2,-62
-22,-12,-706
-22,52,-1053
-4,11,-142
24,-19,-252
0,22,-237
8,16,-261
-17,-6,-206
-22,-1,-146
26,-2,-418
391,-426,-588
230,-293,-508
193,-487,167
153,-523,-260
11,-298,-1363
-85,-248,-1483
-34,-438,-748
-178,-388,-967
-96,-456,-740
-455,469,-707
-502,760,-991
-342,-111,-1957
-159,-295,-1732
-54,-311,-1222
-70,-513,-417
75,1113,-510
133,1024,-686
266,1841,-1256
463,1596,-1564
398,1314,-962
151,-443,-292
192,-2035,-245
331,-1306,-467
305,-1682,-140
279,-797,-376
420,-387,-791
293,-259,-435
463,-743,-551
640,-410,-389
774,-166,-411
606,-168,-1423
577,59,-2291
254,-92,-2261
-341,-747,-1098
-794,-1593,-247
-1033,-678,-77
-379,185,-505
-165,439,-917
64,952,-994
206,1060,-889
-118,342,-326
-373,-700,-174
-252,-170,-40
-224,-239,-89
-313,-452,-50
-170,-126,-265
-37,103,-321
-115,-461,-118
-200,-354,-27
-102,-264,-21
-8,-349,-241
-134,-398,-112
-6,241,-257
-3,289,-257
41,295,-240
122,771,-206
67,330,-298
-108,-259,-328
-305,-715,-175
-124,-327,-224
-103,-371,-134
122,198,-166
204,657,-284
131,449,-86
100,16,-174
-77,-938,-121
-367,-2028,-186
-144,-820,-265
59,-156,-262
216,862,-259
213,830,-255
4,240,-49
-58,257,-192
-198,-332,-27
-156,-628,-10
328,719,-235
508,2727,-349
362,2024,-36
48,713,154
-226,-985,243
-442,-3002,93
-326,-2240,70
141,-152,-168
312,809,-147
269,688,58
225,741,143
142,577,13
91,114,8
43,-326,122
130,489,181
30,200,13
-59,-120,-21
-167,-284,-40
-54,1,-21
38,-588,-24
-88,-447,139
-105,-146,198
77,336,128
-84,169,-56
-236,15,-147
-141,269,-152
-56,72,-8
-27,-567,126
-45,-832,219
-62,-752,213
-4,15,63
-98,132,-107
-191,11,-124
-124,540,-20
-29,184,129
27,-240,244
26,-216,175
-2,-217,104
-38,-617,87
-11,-327,86
-68,-304,52
-272,-511,-154
-350,-608,-12
-24,78,-25
253,393,17
236,5,-85
232,42,86
137,-382,245
110,-356,333
126,-566,257
255,-86,245
352,328,160
235,335,178
142,196,236
139,276,337
179,281,345
155,520,285
255,857,218
290,1485,177
257,1672,155
111,1366,210
95,16,309
-87,-1146,240
-30,-639,187
81,-22,227
136,303,258
348,693,197
365,782,148
224,290,152
34,-88,242
16,-488,263
2,-728,345
251,-19,325
446,342,40
396,376,80
248,240,170
176,262,71
125,4,58
162,92,276
266,276,218
223,160,195
174,-115,247
151,127,286
95,113,232
115,180,181
194,886,195
117,1509,178
51,1221,291
44,730,172
-33,-164,247
39,-631,283
201,-132,290
408,690,245
402,617,263
312,622,289
281,173,234
279,-219,210
386,42,191
372,15,174
331,-88,219
336,17,180
189,-341,214
220,-283,119
241,-618,164
248,-472,135
188,-105,157
148,466,199
211,521,133
88,188,116
50,-40,79
84,-115,41
132,10,3
375,662,13
374,683,-13
232,188,34
163,67,39
135,-353,80
140,-406,99
184,189,121
222,474,127
174,594,88
51,360,69
-19,661,50
-114,458,99
-121,100,101
-130,-116,126
-57,-1,200
-109,-181,288
-28,-451,277
41,-658,383
210,63,394
227,452,293
332,753,258
229,893,268
61,485,318
167,426,372
149,433,293
158,708,229
129,575,201
230,279,120
-62,676,218
30,453,271
-10,523,299
79,545,248
-875,699,756
-358,280,626
-242,164,462
-426,436,363
-392,361,394
-333,539,318
-455,27,165
-417,-196,0
-513,-646,29
-545,-695,29
-474,202,117
-300,622,135
-371,169,424
