1224,-576,8038
1148,-518,8090
1136,-420,8088
1124,-436,8230
1166,-418,8240
1126,-478,8290
1188,-488,8432
1234,-594,8374
1128,-678,8420
1204,-660,8384
1200,-600,8136
1124,-526,8306
1184,-394,8088
1044,-544,8042
1074,-474,8154
1208,-514,8140
1154,-610,8198
1044,-578,8156
1164,-456,8172
870,-434,8118
1008,-312,8066
1100,-438,8064
1280,-570,8110
1198,-580,8150
1180,-526,8186
1376,-462,8128
1190,-534,8076
1228,-504,7958
1224,-506,8032
1072,-512,8090
1056,-550,8120
1090,-494,8164
956,-516,8156
1090,-384,8214
954,-452,8184
1080,-496,8098
1014,-544,8172
1022,-570,8276
1104,-608,8230
1370,-336,8392
1130,-698,8276
1238,-616,8208
1088,-448,8164
1176,-356,7998
1142,-300,8006
1020,-454,8196
1114,-428,8010
1292,-286,8078
1040,-336,8098
1062,-376,8096
1022,-384,8102
1206,-372,8128
1000,-556,8230
1178,-538,8162
1306,-552,8150
1180,-464,8288
1164,-540,8094
1172,-530,8088
1066,-426,7964
1166,-448,7972
1066,-578,8028
1170,-504,8072
1284,-478,8134
1116,-550,8212
1280,-470,8124
1084,-424,8154
1116,-376,8390
1146,-386,8240
992,-138,8106
1270,-346,8586
924,-848,8254
1094,-396,7954
1234,-320,8032
1408,-296,7960
1210,-272,8584
1176,-424,8374
1428,-344,8210
1208,-470,8134
1548,-552,7832
1304,-790,8024
1278,-470,8002
814,-420,8398
466,-366,8776
1094,-414,8160
1234,-370,8096
308,-524,8318
792,-534,8240
1112,-442,8598
1026,-296,8436
-156,-690,9000
-214,-1064,7424
2260,202,8268
1384,454,6960
1024,364,8100
754,86,7538
844,-8,7802
168,-250,8666
1268,-100,8506
1772,306,8850
1254,-116,8488
1416,154,8046
1566,282,8046
708,-18,8598
920,60,8302
1456,332,7634
1038,196,7900
1154,286,7822
992,150,8012
1314,186,7900
1690,346,7612
1164,222,7710
1066,158,8156
1604,166,7906
1462,124,8114
1198,160,8274
1142,142,8232
1324,210,8240
1250,86,8396
1070,24,8664
1532,168,8080
1560,110,8144
1108,12,8298
752,-120,8386
1316,74,8650
1734,136,8142
1310,-4,8468
1190,-54,8556
1600,86,8524
1144,-74,8394
1712,32,8392
1492,12,8136
1448,14,8306
1852,116,8228
1544,-36,7958
1478,20,7750
1568,0,7910
1534,82,7916
1418,34,7866
1434,18,8010
1256,-2,8006
1514,88,7990
1376,-18,8108
1230,-24,8068
1560,90,8010
1454,34,7984
1624,94,7860
1244,-34,7816
1320,52,7918
1434,46,7902
1214,-28,8124
1276,-30,8236
1400,-32,8296
1378,-156,7976
2062,6,7664
1246,-170,8348
1588,-80,8268
2176,16,8096
1506,-204,8582
1678,-80,8586
1758,-18,8422
1730,-90,8370
1614,-118,8394
1496,-114,8452
1446,-80,8174
1252,-142,8450
1748,-92,8016
1672,-32,7920
1260,-140,8064
1614,-24,7784
1548,-88,7686
1458,-42,7786
1660,-22,7458
1704,-48,7672
1798,10,7684
1638,-80,7802
1656,-88,7782
1880,-18,7638
1308,-98,7774
1586,-52,7792
1628,-164,7520
1622,-146,6808
1174,-422,3594
552,-1302,1456
74,-2154,1432
-652,-1806,5328
-1008,-1316,5672
2542,-98,3182
2798,-456,-1154
1120,-1594,-2980
112,-4108,-1516
-54,-6818,438
-40,-8916,504
-2,-9664,-1222
-418,-11196,-3660
-730,-12932,-4548
-58,-14544,-2972
6,-17054,-1086
-800,-20224,-1188
-1594,-23512,-2648
-1440,-25972,-3502
-188,-27110,-2518
768,-27232,-44
490,-26008,2772
-400,-24134,4704
-966,-22558,5104
-454,-21414,3680
542,-20152,1082
520,-19080,-1838
-672,-18574,-4108
-1666,-18074,-4868
-1548,-17310,-4214
-648,-16372,-2504
-14,-14998,-316
-140,-13114,1696
-504,-10860,2718
-798,-8920,2472
-772,-7234,1400
-722,-6080,236
-710,-5136,-502
-672,-4406,-882
-664,-3766,-888
-560,-3300,-660
-490,-2956,-308
-470,-2726,12
-468,-2384,358
-304,-2012,574
-148,-1740,788
92,-1472,912
324,-1398,1146
586,-1496,1306
790,-2008,1552
792,-3442,1766
454,-5996,1738
254,-9970,1674
90,-16722,1766
-290,-30036,1870
