Time,Phi (degrees),Theta (degrees),Yaw (degrees)
2.54300,-16.00378,7.18753,-110.69305
2.55500,-15.14937,7.22359,-109.22762
2.57700,-13.84060,7.57580,-106.49026
2.58900,-13.15877,7.74794,-105.13606
2.61100,-11.95398,7.59495,-102.78452
2.62300,-11.28763,7.62631,-101.69414
2.64500,-9.91255,8.61893,-99.78381
2.66700,-8.57442,10.90364,-97.53343
2.67900,-8.01229,12.20457,-96.30079
2.70100,-7.95604,17.42314,-92.32702
2.71300,-7.62876,18.38133,-90.94286
2.73500,-6.61931,19.44422,-89.19926
2.74700,-5.95691,19.55362,-88.04347
2.76900,-5.40355,21.72930,-84.63129
2.78100,-4.66210,22.53837,-83.64578
2.80300,-3.48827,25.06486,-81.51895
2.82500,-2.34277,27.46220,-79.77636
2.83700,-1.81135,28.19880,-78.83546
2.85900,-0.95377,28.69694,-77.23314
2.87100,-0.31844,28.81929,-76.57351
2.89300,0.95046,28.86317,-75.64064
2.90500,1.56210,28.89923,-75.23317
2.92700,2.57678,29.11519,-74.76334
2.94900,3.60686,29.46592,-74.47112
2.96100,4.24358,29.78059,-74.32716
2.98300,5.63367,30.16387,-74.14116
2.99500,6.25498,30.05682,-73.84984
3.01700,7.33335,29.67687,-73.65472
3.02900,7.94785,29.51088,-73.58759
3.05100,9.20265,29.65666,-73.48820
3.07300,10.37271,29.79235,-73.28668
3.08500,10.93482,29.88381,-73.04266
3.10700,11.87549,30.11496,-72.60556
3.11900,12.33029,30.23367,-72.31747
3.14100,13.34952,30.49243,-71.88278
3.15300,13.99796,30.79539,-71.68740
3.17500,15.05316,31.82961,-70.83078
3.18700,15.68908,32.77371,-70.57355
3.20900,16.77665,33.99281,-70.18732
3.23100,17.81173,34.68501,-69.98514
3.24300,18.28881,34.79741,-69.79220
3.26500,19.06108,34.91983,-69.31391
3.27700,19.41605,34.94513,-69.03987
3.29900,20.04897,35.13235,-68.45181
3.31100,20.42102,35.31767,-68.15734
3.33300,20.97903,35.70693,-67.48975
3.35500,21.46907,36.07658,-66.76614
3.36700,21.76219,36.16535,-66.43082
3.38900,22.10019,36.02367,-65.56464
3.40100,22.25382,36.18493,-65.03004
3.42300,22.73859,36.88510,-64.29470
3.43500,23.02619,37.36160,-63.95430
3.45700,23.80869,38.87463,-63.50403
3.46900,24.02220,39.63287,-63.05738
3.49100,24.29013,40.39320,-61.91948
3.51300,24.55452,41.48722,-60.80849
3.52500,24.75788,42.23524,-60.24561
3.54700,25.33618,43.97267,-59.51571
3.55900,25.58959,44.95490,-59.15329
3.58100,26.03784,46.85362,-58.72072
3.60300,26.70279,49.43098,-58.49925
3.61500,26.70152,50.29220,-57.98063
3.63700,26.54337,51.34983,-56.93953
3.64900,26.23861,51.69286,-56.13686
3.67100,25.43224,52.39315,-54.39462
3.68300,24.96196,52.72401,-53.45679
3.70500,24.07969,53.50720,-51.79858
3.71700,23.64955,53.94621,-50.97449
3.73900,22.77822,54.57355,-49.62896
3.76100,21.65079,54.98707,-47.86926
3.77300,21.00395,55.21748,-46.81336
3.79500,19.58724,55.79991,-44.62864
3.81200,18.52381,56.32946,-43.05055
3.82400,17.73354,56.67746,-41.90616
3.84600,16.18819,57.18904,-39.62416
3.85800,15.40693,57.44070,-38.45886
3.88000,13.58327,57.73438,-35.95662
3.90200,11.56715,57.94342,-33.24675
3.91400,10.50990,58.12067,-31.91599
3.93600,8.35231,58.39445,-29.33238
3.94800,7.07371,58.47538,-27.83707
3.97000,4.93040,58.61704,-25.20690
3.98200,3.83347,58.72945,-23.82089
4.00400,2.15584,59.66716,-21.51303
4.02600,-0.04471,59.84175,-18.78254
4.03800,-1.18820,59.90650,-17.44273
4.06000,-3.33531,60.14368,-14.94233
4.07200,-4.50867,60.21406,-13.57927
4.09400,-6.22493,60.36140,-11.31003
4.10600,-7.10470,60.30333,-10.16721
4.12800,-8.63898,60.28621,-8.15801
4.14000,-9.68622,60.33960,-6.89452
4.16200,-11.48167,60.24557,-4.70184
4.18400,-13.34413,60.02004,-2.61216
4.19600,-14.30318,59.91211,-1.61085
4.21800,-16.04714,59.45221,0.21150
4.23000,-16.85279,59.10207,1.11035
4.25200,-18.20875,58.44345,2.65832
4.27400,-19.57751,57.64031,4.20156
4.28600,-20.35902,57.30313,5.04662
4.30800,-21.69018,56.51450,6.52264
4.32000,-22.31783,56.11139,7.24181
4.34200,-23.41737,55.29502,8.64053
4.35400,-24.02701,54.91551,9.38059
4.37600,-25.18674,54.22763,10.77854
