Time,Phi (degrees),Theta (degrees)
3.46900,24.55323,39.53955
3.49100,24.82356,40.30899
3.51300,25.09299,41.41177
3.52500,25.30750,42.22609
3.54700,25.89553,43.96871
3.55900,26.16022,45.01706
3.58100,26.62119,46.91806
3.60300,27.30909,49.49617
3.61500,27.31411,50.36050
3.63700,27.16117,51.42444
3.64900,26.85565,51.77238
3.67100,26.04805,52.48330
3.68300,25.57626,52.81969
3.70500,24.69367,53.61248
3.71700,24.26370,54.05608
3.73900,23.39043,54.69059
3.76100,22.25606,55.11359
3.77300,21.60493,55.34957
3.79500,20.18126,55.94342
3.81200,19.11458,56.48080
3.82400,18.32110,56.83432
3.84600,16.76636,57.35696
3.85800,15.97944,57.61390
3.88000,14.13978,57.91900
3.90200,12.10401,58.13987
3.91400,11.03742,58.32253
3.93600,8.86023,58.60634
3.94800,7.56884,58.69283
3.97000,5.40209,58.84352
3.98200,4.29295,58.96040
4.00400,2.60264,59.90473
4.02600,0.37565,60.08669
4.03800,-0.78166,60.15473
4.06000,-2.95381,60.39717
4.07200,-4.14153,60.47034
4.09400,-5.88092,60.62183
4.10600,-6.77393,60.56553
4.12800,-8.33072,60.55109
4.14000,-9.39119,60.60619
4.16200,-11.21141,60.51461
4.18400,-13.09843,60.29079
4.19600,-14.06925,60.18335
4.21800,-15.83600,59.72401
4.23000,-16.65343,59.37389
4.25200,-18.02939,58.71492
4.27400,-19.41778,57.91119
4.28600,-20.20914,57.57359
4.30800,-21.55773,56.78398
4.32000,-22.19364,56.38015
4.34200,-23.30863,55.56240
4.35400,-23.92598,55.18205
4.37600,-25.09963,54.49258
4.38800,-25.57149,54.03141
4.41000,-26.42492,53.12437
4.42200,-27.04436,52.68620
4.44400,-28.48702,51.67118
4.46600,-29.67900,50.38892
4.47800,-30.22650,49.66883
4.50000,-31.26512,48.50373
4.51200,-31.90121,47.90051
4.53400,-32.98175,46.73796
4.54600,-33.41734,46.11139
4.56800,-33.87183,44.71235
4.59000,-34.28048,43.30300
4.60200,-34.58855,42.64685
4.62400,-35.37234,41.55283
4.63600,-35.65434,40.91486
4.65800,-36.01603,39.70617
4.67000,-36.16702,39.08508
4.69200,-36.32166,37.86144
4.71400,-36.40925,36.56382
4.72600,-36.45729,35.92908
4.74800,-36.26534,34.76027
4.76000,-36.04348,34.12270
4.78200,-35.50659,33.03938
4.79400,-35.22382,32.45155
4.81600,-34.74222,31.21684
4.82800,-34.39597,30.46724
4.85000,-33.45019,29.04875
4.87200,-32.57459,27.68030
4.88400,-32.11655,26.92687
4.90600,-31.25588,25.78192
4.91800,-30.65481,24.95538
4.94000,-29.59769,23.71950
4.95200,-29.02763,23.04166
4.97400,-27.91698,21.83904
4.99600,-26.70659,20.39516
5.00800,-26.02862,19.47340
5.03000,-24.95372,17.72721
5.04200,-24.38124,16.70859
5.06400,-23.33466,14.88084
5.07600,-22.72084,13.90407
5.09800,-21.52435,12.55983
5.11000,-20.82507,11.77071
5.13200,-19.59946,10.54734
5.15400,-18.45799,9.42273
5.16600,-17.77420,8.89948
5.18800,-16.39960,8.00412
5.20000,-15.58968,7.38975
5.22200,-14.11087,5.97044
5.23400,-13.36987,5.09605
5.25600,-12.14649,3.52446
5.27800,-11.23971,1.83586
5.29000,-10.80505,0.58360
5.31200,-10.03101,-1.56746
5.32400,-9.68934,-2.68393
5.34600,-8.92316,-4.00062
5.35800,-8.55705,-4.48071
5.38000,-7.86688,-5.44204
5.40200,-7.11810,-6.75728
5.41400,-6.77971,-7.46651
5.43600,-6.16245,-8.45567
5.44800,-5.81223,-9.02072
5.47000,-5.13123,-10.31684
5.48200,-4.72231,-10.98671
5.50400,-4.04974,-11.83162
5.51600,-3.77586,-12.22709
5.53800,-3.32935,-12.70391
5.56000,-2.69238,-13.53961
5.57200,-2.30411,-14.16239
5.59400,-1.56672,-15.17377
5.60600,-1.12017,-15.57648
5.62800,-0.11555,-15.85719
5.64000,0.36635,-15.93308
5.66200,0.95615,-16.04951
5.68400,1.40781,-16.25658
5.69600,1.53259,-16.50308
5.71800,1.72776,-16.82664
5.73000,1.76749,-16.87120
5.75200,1.71869,-16.91153
5.76400,1.64762,-17.13765
5.78600,1.59549,-17.69127
5.81300,1.51504,-18.19931
5.82500,1.50301,-18.32515
5.83700,1.46855,-18.48816
5.85900,1.50516,-18.77516
5.87100,1.49710,-18.95216
5.89300,1.54350,-19.35072
5.90500,1.50832,-19.45409
5.92700,1.45252,-19.53086
5.94900,1.40730,-19.63074
5.96100,1.44720,-19.77187
5.98300,1.39022,-20.08136
5.99500,1.31115,-20.24080
6.01700,1.16528,-20.38671
6.02900,1.00771,-20.49206
6.05100,0.66187,-20.61817
6.06300,0.48255,-20.80295
6.08500,0.03721,-21.32117
6.10700,-0.49052,-21.76605
6.11900,-0.84012,-21.90979
6.14100,-1.45800,-22.21206
6.15300,-1.92326,-22.38410
6.17500,-2.74863,-22.72550
6.18700,-3.17449,-22.94666
6.20900,-3.79877,-23.14495
6.23100,-4.24333,-23.50752
6.24300,-4.54362,-23.64898
6.26500,-5.28265,-23.73580
6.27700,-5.74445,-23.70788
6.29900,-6.49582,-23.67486
6.31100,-6.81835,-23.63841
6.33300,-7.30498,-23.58295
6.35500,-7.87636,-23.50658
6.36700,-8.21533,-23.42455
6.38900,-8.79815,-23.21259
6.40100,-9.16424,-23.14010
6.42300,-9.90677,-22.90118
6.43500,-10.33156,-22.79618
6.45700,-11.17212,-22.52287
6.46900,-11.60888,-22.34432
6.49100,-12.41091,-21.82907
6.51300,-13.41969,-21.09965
