Time,Phi (degrees),Theta (degrees),Yaw (degrees)
2.55500,-15.56608,6.99306,-105.69357
2.57700,-14.21312,7.41158,-102.94733
2.58900,-13.50745,7.61891,-101.58104
2.61100,-12.25706,7.51279,-99.21989
2.62300,-11.56890,7.56772,-98.11597
2.64500,-10.15184,8.58745,-96.17169
2.66700,-8.76975,10.90895,-93.88736
2.67900,-8.18132,12.23976,-92.63943
2.70100,-8.09124,17.52395,-88.63809
2.71300,-7.73829,18.51470,-87.24342
2.73500,-6.68744,19.65728,-85.48598
2.74700,-6.00077,19.76798,-84.32133
2.76900,-5.41100,22.02590,-80.88850
2.78100,-4.64322,22.87213,-79.89225
2.80300,-3.42047,25.47506,-77.74685
2.82500,-2.21969,27.92962,-75.99577
2.83700,-1.65817,28.70062,-75.04899
2.85900,-0.75392,29.25003,-73.43475
2.87100,-0.09071,29.40128,-72.76914
2.89300,1.23139,29.49401,-71.82710
2.90500,1.87390,29.55527,-71.41516
2.92700,2.94548,29.81122,-70.94265
2.94900,4.02737,30.18901,-70.64662
2.96100,4.69261,30.51712,-70.50208
2.98300,6.13308,30.92334,-70.31644
2.99500,6.77781,30.82959,-70.02275
3.01700,7.89310,30.47404,-69.84499
3.02900,8.52866,30.32051,-69.78798
3.05100,9.82819,30.49100,-69.71420
3.07300,11.04278,30.65202,-69.53828
3.08500,11.62746,30.75848,-69.30762
3.10700,12.60857,31.01839,-68.89459
3.11900,13.08358,31.15226,-68.61862
3.14100,14.14246,31.43507,-68.20888
3.15300,14.80120,31.73941,-68.02299
3.17500,15.89970,32.80799,-67.20190
3.18700,16.56772,33.76679,-66.97433
3.20900,17.68184,34.98860,-66.61876
3.23100,18.77514,35.70552,-66.45856
3.24300,19.27886,35.83191,-66.28233
3.26500,20.09725,35.98107,-65.83270
3.27700,20.47624,36.02114,-65.57285
3.29900,21.15103,36.23490,-65.01192
3.31100,21.54850,36.43425,-64.73526
3.33300,22.15197,36.85276,-64.10035
3.35500,22.68402,37.25150,-63.40730
3.36700,22.99932,37.35520,-63.08599
3.38900,23.36873,37.24439,-62.23633
3.40100,23.53951,37.42353,-61.71422
3.42300,24.07049,38.15231,-61.01820
3.43500,24.38735,38.64329,-60.70376
3.45700,25.24820,40.18092,-60.33066
3.46900,25.49505,40.95531,-59.91882
3.49100,25.80262,41.75181,-58.81912
3.51300,26.11298,42.88036,-57.75770
3.52500,26.32984,43.63750,-57.21748
