-52,-116,-92
-28,266,-17
-33,67,-43
-64,-39,-82
-86,-14,-67
-97,151,-110
-126,329,-50
-101,171,-20
-115,385,-114
-118,317,-10
-161,198,-77
-220,-118,-101
-226,-215,-102
-242,-53,-94
-293,-530,-125
-359,-373,-184
-261,331,24
-216,732,25
-267,137,-84
-272,313,-102
-286,630,-16
-321,240,-12
-434,-248,-79
-413,-297,-117
-249,51,-40
-212,100,15
-140,91,29
-137,282,60
-99,267,-35
-68,221,-29
-73,369,-50
-71,237,-41
-40,72,-108
-28,-22,-115
-111,-443,-173
-71,-318,-151
18,74,-40
85,865,53
33,501,33
-122,-253,-94
-212,-416,-125
-79,-236,-17
-166,-395,-48
-186,-45,-36
-54,489,-1
-48,215,107
-190,-329,-161
-190,-38,-27
-223,135,-40
-318,313,35
-323,125,84
-344,63,32
-485,-143,-2
-615,-390,-14
-752,-372,-67
-852,-366,3
-962,-109,-27
-1076,166,-45
-944,46,153
-858,116,75
-776,221,58
-896,48,-90
-1079,-226,-172
-1100,-547,-130
-936,-304,-100
-675,-62,11
-663,-105,-61
-772,-132,-151
-946,123,-214
-880,-124,-254
-817,-441,-344
-575,-209,-200
-610,-83,-175
-709,-121,-143
-838,172,-122
-903,37,-80
-717,206,-13
-703,23,87
-793,-204,-34
-998,-238,-124
-1046,-146,-158
-1063,-120,-170
-1001,-931,-195
-1166,-1079,-270
-1207,-781,-401
-1280,-579,-214
-1148,-165,-140
-1292,40,-69
-1421,-357,-44
-1517,-284,-111
-1594,-657,-221
-1547,-699,-15
-1568,-755,39
-1741,-995,113
-1619,-676,184
-1594,-411,185
-1555,-384,161
-1674,-590,105
-1712,-506,86
-1678,-143,247
-1711,-332,208
-1617,105,284
-1500,394,222
-1430,253,199
-1440,-92,127
-1443,-414,93
-1374,-40,171
-1334,-122,160
-1231,-326,119
-1185,-154,81
-1141,-158,50
-1056,-82,80
-1006,-219,4
-930,-140,28
-879,-138,82
-811,-168,77
-821,-313,49
-657,75,20
-625,-18,-21
-594,-151,-83
-642,-419,-109
-490,-224,-85
-332,-70,-92
-270,-173,-59
-217,-390,-88
-272,-597,-201
-248,-757,-225
-226,-1409,-179
-56,-1788,-102
24,-1976,-51
-308,-3107,-65
-132,-2353,5
-258,-2504,-24
-156,-2801,16
-199,-2391,122
-447,-2991,238
-413,-3029,269
-310,-3411,125
-151,-3847,41
-86,-4702,28
-309,-5848,173
-451,-7111,313
-782,-5778,106
-648,-5434,254
-794,-5646,194
-610,-4343,86
-326,-5388,357
-693,-8028,564
-753,-6935,469
-608,-7388,661
-930,-6137,580
-396,-6557,815
-632,-5048,450
-247,-4976,451
-446,-3824,69
