Time,Phi (degrees),Theta (degrees),Yaw (degrees)
2.70100,52.41889,-1.35681,119.88690
2.72300,53.66795,-1.40854,118.50101
2.73500,54.57333,-1.67322,117.85191
2.75200,55.77872,-2.49977,117.54958
2.77400,56.97606,-3.14612,117.23846
2.79600,58.43662,-3.38801,116.51212
2.80800,59.21149,-3.42736,115.84531
2.83000,60.67874,-3.82730,114.79052
2.84200,61.34174,-4.10066,114.25865
2.86400,62.57601,-4.62375,113.42404
2.87600,63.28443,-4.84632,113.07335
2.89800,64.59103,-5.29363,112.91006
2.91000,65.23661,-5.57062,112.73091
2.93200,66.38889,-6.07960,112.34722
2.95400,67.45161,-6.57044,112.04844
2.96600,67.95626,-6.71006,111.66737
2.98800,68.87005,-6.98937,110.71999
3.00000,69.39320,-7.09401,110.07722
3.02200,70.30926,-7.32129,108.50638
3.03400,70.84119,-7.34346,107.70122
3.05600,71.52651,-7.47672,106.46085
3.07800,72.18378,-7.57808,105.23129
3.09000,72.50708,-7.62000,104.61079
3.11200,73.10103,-7.64007,103.50949
3.12400,73.33930,-7.61663,102.88219
3.14600,73.62024,-7.37544,101.75985
3.15800,73.75027,-7.24201,101.10255
3.18000,73.88586,-7.21790,99.95994
3.20200,74.04906,-7.34124,98.51990
3.21400,74.19942,-7.46350,97.84389
3.23600,74.54803,-7.65418,96.60378
3.24800,74.71115,-7.76665,95.99019
3.27000,75.01211,-7.81384,94.73300
3.28200,75.13907,-7.86608,93.99545
3.30400,75.21566,-7.92545,92.29286
3.31600,75.25040,-8.04282,91.36031
3.33800,75.37908,-8.23129,89.94156
3.36000,75.54844,-8.44256,88.54139
3.37200,75.60415,-8.55842,87.79723
3.39400,75.59972,-8.90576,86.67912
3.40600,75.56638,-9.03831,86.01286
3.42800,75.66529,-9.16708,84.33598
3.44000,75.73201,-9.27516,83.48932
3.46200,75.78145,-9.62664,82.29564
3.48400,75.77797,-10.01501,81.01575
3.49600,75.81508,-10.20393,80.42046
3.51800,75.95609,-10.56791,79.48421
3.53000,76.01861,-10.70326,78.95844
3.55200,76.03326,-10.78547,77.77891
3.56400,76.02890,-11.00620,77.10522
3.58600,76.08286,-11.37225,76.03483
