Time,Phi (degrees),Theta (degrees)
0.0,0.015291218410068658,-0.015018145161578234
0.021999999999934516,0.020204530384862498,-0.030069364977164656
0.03400000000056025,0.035472321324805135,-0.04138870387132034
0.056000000000494765,0.044725692956815964,-0.05518694593667517
0.07800000000042928,0.0513090179393282,-0.06675884020486642
0.09000000000014552,0.06839963721321572,-0.07751432971445253
0.11200000000008004,0.08403001561881493,-0.09131337277825534
0.12399999999979627,0.09757344895892114,-0.10779307393295458
0.14600000000064028,0.11401324152074631,-0.1245291743228562
0.15800000000035652,0.1264183049880205,-0.13412485569415528
0.18000000000029104,0.13567388130099722,-0.1407561917722096
0.20200000000022555,0.1462697402025993,-0.15065355556530005
0.2139999999999418,0.1582718788335146,-0.15691000655734783
0.2359999999998763,0.16448804520748908,-0.1698550131997358
0.24800000000050204,0.1754579206010081,-0.17464793822800162
0.27000000000043656,0.18386104545769738,-0.1793941060475653
0.2820000000001528,0.1988805130347793,-0.19586896535201853
0.3040000000000873,0.20396282342322092,-0.20320271908074555
0.32600000000002183,0.2128081609061148,-0.21462828493982966
0.33800000000064756,0.22598728107589236,-0.228148250289416
0.3600000000005821,0.23839392705893608,-0.23773259773583857
0.3720000000002983,0.24343860710085966,-0.24689041319476682
0.39400000000023283,0.24649643600473234,-0.256419687418064
0.40599999999994907,0.2586589605140237,-0.26189751383105503
0.4279999999998836,0.26655602472438916,-0.27603215246547874
0.4400000000005093,0.2728787339254751,-0.2822031390183469
0.46200000000044383,0.2874314555367018,-0.29492382490963703
0.48400000000037835,0.2877583403825775,-0.30778981642812425
0.4960000000000946,0.2871611534904168,-0.31331553876248763
0.5180000000000291,0.29825274851012634,-0.31500575304438555
0.5300000000006548,0.31036419307060537,-0.3227105499534591
0.5520000000005894,0.32595063831202853,-0.32666778590824913
0.5640000000003056,0.3364557848696334,-0.33704749344250684
0.5860000000002401,0.3407206856334972,-0.34053611575352594
0.6080000000001746,0.349632823041243,-0.35336352011103717
0.6199999999998909,0.36413367817594433,-0.35598122969628965
0.6419999999998254,0.3814850795690773,-0.3547687770488733
0.6540000000004511,0.39092389997238564,-0.36103681939228555
0.6760000000003856,0.39557529192215785,-0.36484205889653337
0.6880000000001019,0.40515666216301877,-0.3656166505396583
0.7100000000000364,0.4116492311237397,-0.3711679433716132
0.7319999999999709,0.4142494036235409,-0.3754267069204466
0.7489980000000287,0.42559097092000536,-0.37967728997277017
0.761000000000422,0.4298521408787499,-0.3873623031801693
0.7830000000003565,0.4371715667381357,-0.4003016581610552
0.7950000000000728,0.4368232463601227,-0.40302832634578917
0.8170000000000073,0.4413068640702944,-0.4118492354998542
0.829000000000633,0.4461332277040513,-0.4103271019705121
0.8510000000005675,0.45223673893438554,-0.42212211813467404
