Time,Phi (degrees),Theta (degrees)
3.53000,75.99603,-10.94756
3.55200,76.00584,-11.02659
3.56400,75.99875,-11.24555
3.58600,76.04845,-11.60839
3.60800,76.12146,-11.81500
3.62000,76.09946,-11.87160
3.64200,76.00139,-11.93456
3.65400,75.91887,-12.05157
3.67600,75.72536,-12.14619
3.68800,75.64283,-12.24633
3.71000,75.49580,-12.49924
3.72200,75.46817,-12.57418
3.74400,75.48926,-12.66667
3.76600,75.54700,-12.55585
3.77800,75.53559,-12.59632
3.80000,75.35023,-12.82396
3.81200,75.22623,-12.98128
3.83400,74.99272,-13.23031
3.84600,74.92769,-13.39294
3.86800,74.72318,-13.77152
3.89000,74.39386,-14.20219
3.90200,74.17537,-14.39786
3.92400,73.82384,-14.70058
3.93600,73.63659,-14.87322
3.95800,73.33949,-15.13017
3.97000,73.16734,-15.16909
3.99200,72.93771,-15.12374
4.01400,72.78449,-15.09348
4.02600,72.63701,-15.13185
4.04800,72.19551,-15.39753
4.06000,71.97532,-15.51283
4.08200,71.71466,-15.65268
4.09400,71.60692,-15.69782
4.11600,71.43546,-15.87013
4.12800,71.28403,-15.95835
4.15000,71.03535,-16.08222
4.17200,70.86442,-16.09402
4.18400,70.76312,-16.15502
4.20600,70.44891,-16.36871
4.21800,70.23119,-16.41104
4.24000,69.92965,-16.44443
4.25200,69.80212,-16.53995
4.27400,69.60121,-16.63114
4.29600,69.37852,-16.69672
4.30800,69.23106,-16.80772
4.33000,68.98083,-17.01283
4.34200,68.93465,-17.09150
4.36400,68.92506,-17.26965
4.37600,68.98876,-17.42371
4.39800,69.09925,-17.59315
4.41029,69.07064,-17.59815
4.43200,69.01678,-17.53032
4.45400,69.05956,-17.48383
4.46600,69.16610,-17.43218
4.48800,69.47375,-17.43537
4.50000,69.64553,-17.42719
4.52200,69.94836,-17.45007
4.53400,70.06783,-17.40516
4.55600,70.24956,-17.36969
4.57800,70.44578,-17.24884
4.59000,70.56576,-17.18028
4.61200,70.83370,-17.11693
4.62400,71.00655,-17.07784
4.64600,71.30157,-17.05433
4.65800,71.43523,-17.01847
4.68000,71.73302,-16.90812
4.70200,72.11509,-16.72179
4.71400,72.35839,-16.54908
4.73600,72.86343,-16.32564
4.75300,73.19664,-16.20855
4.76500,73.45179,-16.09768
4.78700,73.86702,-15.81493
4.79900,74.07674,-15.57949
4.82100,74.38464,-15.21132
4.84300,74.66030,-14.74674
4.85500,74.85888,-14.56750
4.87700,75.11273,-14.42519
4.88900,75.27794,-14.38245
4.91100,75.65830,-13.96768
4.92300,75.89771,-13.80179
4.94500,76.17519,-13.82284
4.96700,76.35691,-14.06108
4.97900,76.55363,-14.09375
5.00100,77.03905,-14.00218
5.01300,77.32964,-13.89965
5.03500,77.74340,-13.47925
5.04700,77.87396,-13.33742
5.06900,78.10677,-13.20135
5.08100,78.28123,-13.10766
5.10300,78.72081,-12.73910
5.12500,78.99380,-12.38347
5.13700,79.08691,-12.16281
5.15900,79.25092,-11.88580
5.17100,79.28684,-11.70415
5.19300,79.24878,-11.34092
5.20500,79.18573,-11.11673
5.22700,79.07449,-10.79882
5.24900,79.34282,-10.41649
5.26100,79.46691,-10.17973
5.28300,79.62154,-9.98318
5.29500,79.63152,-9.86173
5.31700,79.81093,-9.42786
5.32900,79.86626,-9.19294
5.35100,80.09991,-8.76773
5.36300,80.18176,-8.61908
5.38500,80.41966,-8.18292
5.40700,80.64401,-7.75569
5.41900,80.75017,-7.50935
5.44100,80.87401,-7.12163
5.45300,80.90396,-6.93096
5.47500,80.97848,-6.59591
5.48700,81.05048,-6.39117
5.50900,81.13996,-6.04650
5.53100,81.28612,-5.81682
5.54300,81.31784,-5.66598
5.56500,81.46255,-5.34977
5.57700,81.48409,-5.18580
5.59900,81.60404,-4.95776
5.61100,81.64198,-4.83092
5.63300,81.71642,-4.47943
5.65500,81.82278,-4.09584
5.66700,81.88959,-3.90108
5.68900,81.85875,-3.65054
